,Unnamed: 0,strategy,label
2435,2435,The best approach to verifying that ones child is getting the correct and/or best treatment,4
116,116,Invite other toddlers over for a play date and snacks. ,0
2221,2221,"Not sure, he just doesn't like us to leave him",4
1835,1835,Finding local parks and activities my kids like,2
547,547,We are working to decrease any media exposure for him.,0
2004,2004,Doing hand over hand with hygene type activities (brushing teeth and hair,3
998,998,side by side play,0
2862,2862,"do not be surprised by the price, ",4
2170,2170,No change desired as change is impossible for [patient] due to mental limitations.,4
1110,1110,Decrease meltdowns to be able to show the routine,0
1072,1072,The child works one on one with the teacher and does little with peers or peer interaction.  Such interaction needs to be modeled.,0
1310,1310,Ensuring he is sitting upright and supported so he can participate and be part of the action,0
195,195,a tablet that can just be hers,0
2986,2986,The doctor we saw said our thermometer must be broken ,4
356,356,Having more get togethers to give more opportunities,0
3094,3094, The treatment can delay certain parts of puberty but not others. ,4
1666,1666,"She sometimes has to be encouraged to go to the park or beach, etc. but once there it's hard to hard to get her to leave.",1
706,706,We have family and guests over quite often with children ranging in age. ,0
1879,1879,"Modeling appropriate play.  Encouraging a game taking turns with a peer, like rolling a ball back and forth.",2
2267,2267,Would love more initiative shown in dressing and personal care,4
582,582,Weaers a hockey helmet to keep him safe and walk around house without assistance,0
731,731,"Small home daycare, my child receives lots of attention",0
1165,1165,Save money to participate in activities or afford things to do at home,0
1059,1059,Family providing extra support to assist him with transitions.,0
2456,2456,It almost sounds like a hiccup and makes his babble abruptly stop ,4
2353,2353, If someone speaks to him or tries to lift him he will start crying,4
1621,1621,"Not be so quick to jump in to help, let him struggle and try to figure it out himself.",1
1844,1844,Rewarding the positive behaviour,2
1923,1923,"Whenever possible, make tasks into a game to make completion fun",2
256,256,Overnight visits/trips really need to be done with extra hands there to help. He does best when there are relatives whom he trusts and can't get some get one on one time with.,0
484,484,Get rid of older toys,0
1377,1377,We can't make it out often where we are at because of the extreme heat so we make sure we get him out in our backyard to play with a variety of toys and activities,0
2760,2760,I don't know what to do ,4
538,538,Including activities easy for her to do so she wants to participate more,0
2425,2425,"it could be a sign of other things to ,

",4
830,830,setting a timer for each activity ,0
1193,1193,Parental willingness to try just about anything. ,0
2402,2402,But she is quite ok when she is back to me.,4
2969,2969,I was wondering how [name] was getting along with his brace? ,4
2432,2432,since she was 12 months old.,4
911,911,Have the money to enroll her in dance or some other activity as such,0
2857,2857,SINCE HE HAD IT,4
500,500,having more time home with child,0
2413,2413,I am very concerened ,4
470,470,Helmet to protect him in case of seizure,0
1951,1951,Teaching him how to put on his own clothes,3
1125,1125,taking along quiet activities to keep her distracted when necessary,0
2162,2162,"He needs more adult help to learn how to socialize with other kids.  The desire is there, but the communication skills are not.",4
2362,2362, i hope things get better for you soon ,4
2457,2457,I have health anxiety and am going out my mind ,4
1975,1975,assisting him with being social,3
1498,1498,encourage her participation,1
1494,1494,engage child in activities,1
110,110,We try to find activities that are age-appropriate and bring adequate supplies to keep him fed and comfortable.,0
3032,3032,turned into a world war. ,4
159,159,plan schedule,0
2420,2420,Isn't breast reduction also cosmetic?!,4
236,236,"Use of local trails  and bike paths to access parks, library etc.",0
798,798, assistance,0
2427,2427, whether it sounds the same and whether the doctor is on the right track.,4
651,651,"We are homeschooling this year, so he is on the computer quite a bit.  I really don't want him on more than he is.  We take breaks often and sometimes his reward is earning some time on the iPAD.",0
1695,1695,If he is given verbal praise when he accomplishes a task.,1
906,906,When bathing providing her with a face cloth so she can participate in washing her own body parts and then an adult or assistant can help with areas she misses,0
2166,2166,Money and time would allow him to do activities.  Therapy for himself and his brother prevents us from doing activities and me from working.,4
180,180,Having the support of the teacher and administrators,0
2519,2519,it seems so unfair. ,4
552,552,Take him with me and have him be a helper,0
1845,1845,Expecting her to clean up after herself.,2
2841,2841,They were happy to deal with it,4
519,519,"Personal care - we talk her through diaper changes, getting dressed and rushing teeth and hair, she will attempt tooth and hair brushing and will unfasten left side of diaper when asked (right side more affected by CP)",0
1832,1832,"She loves playgrounds, she doesn't like leaving so we give warnings ",2
207,207,Give [name] more opportunity to play outside,0
2523,2523,Thanks [name] for your advice and hugs. ,4
1814,1814,Same as above. Keeping it fun and interesting. Familiar but still coming up with new activities.,2
3055,3055,as though we are not even speaking to her. ,4
167,167,Keeping things simple.,0
988,988,Make sure he is wearing his hearing aids,0
1253,1253,I do take her to birthday parties and I find taking her once in awhile to McDonalds to play gives her an  opportunity to play with other children and meeting new people,0
2673,2673,"inc. new school year, holidays, xmas and all the excitement and the lead up to birthdays.",4
81,81,love and attention,0
2078,2078,Having family members assist,3
1351,1351,Be there present in the room where he is supposed to be doing his chore.,0
2087,2087,Teach him how to stand up,3
2292,2292,When I bring groceries home [name] likes to help carry the grocery bags from the door to the kitchen table,4
847,847,Meal/snack time while playing it much more productive than forcing it at the table. He has a very hard time focusing and staying at the table or not throwing everything on the floor so allowing him to snack and play at the same time in a the same designated area helps.,0
417,417,We have 5 sensory swings and a trampoline that all 3 kids love playing with.,0
1988,1988,Practice words for speech,3
2945,2945,My 4 years old son has had a fever for the last 7 hours.,4
2695,2695,"before that his behaviour in school could be iffy, too. ",4
866,866,My child is attending daycare to help with interactions,0
1396,1396,"My daughter will actually volunteer to feed her dog, and I give her lots of praise for being so helpful.",1
58,58,share the excitement of having someone visit,0
2407,2407,"her hearing is fine,its delayed speech. ",4
1718,1718,Make a game - create a song- turn the chore into something she wants to do.,2
144,144,To keep trying inviting over friends even though she doesn't want anything to do with them.,0
694,694,"Playing games with a child , trying to involve other family members",0
1146,1146,"My daughter does take tap and ballet offered in my town, which is small and has limited activities but does try .",0
381,381,same teacher/support staff,0
1490,1490,Putting his dishes within reach so he can get his own drink.,1
1605,1605,Letting her help with shopping,1
2156,2156,"We are more than willing to participate in our community, but activities are limited.",4
750,750,Getting siblings to participate with him.,0
1034,1034,having more space in home and yard to support activities ,0
2264,2264,I have no strategy for this,4
319,319,"Do cleaning works in [name] presence so she knows how to use vacuum cleaner, groom, etc",0
325,325,Have meals at similar times daily,0
419,419,From the very beginning we would read books every night. This is a huge trigger for him to understand it is time to go to bed. He immediately understands where he needs to go and what is going to happen. He is very cooperative in going to bed and is often very happy about it.,0
2109,2109,Requires one on one supervision.,4
217,217,Involvement in activity along with family members.,0
28,28,Take [name] to more activities so he can get use to more sensory stimulation ,0
2303,2303, his general mood,4
78,78,"Not run off in the store, stay closer to me without me having to physically hold his hand the entire time ",0
1515,1515,"Putting out dishes at mealtime, giving meal on plate and asking her to take it toher table to cat, trying to promote an environment where independence and helpfulness are expected",1
2756,2756,but it doesn't seem she is ever willing to say (or accept) that.  ,4
1948,1948,Withholding privileges (i.e tv).,2
852,852,More free programs for those that are sensory sensitive,0
1871,1871,Making it fun for her. I purchased a mini vacuum that she uses when I vacuum. She really enjoys it. And likes that she is helping. I also allow her to throw clothes into the washer and dryer. ,2
1013,1013,Make time to visit parks ,0
477,477, adaptive activities,0
676,676,Make an effort to arrange play dates on the weekends.,0
994,994,"Balance work, play, and family time.",0
214,214,Play music videos on TV and play along with instruments,0
187,187,Special classroom for the disabled,0
754,754,Parties and guests I like to have over during the day so that it is not close to bed time.,0
2766,2766,My auto correct preferred ingestion for some reason!,4
291,291,Ensuring that her peers are setting appropriate models,0
182,182,We have a stander that we put him in daily to help build strength,0
1004,1004,would like to see my child have more intiative to brush teeth/get ready- this could be improved with a more consistent morning routine,0
1558,1558,Help social anxiety,1
1678,1678,don't force him to socialize,1
1081,1081,Personal care - I would like her to hold own tooth brush/hair brush to help self-groom. We provide her with two opportunities to do this daily,0
118,118,Giving her opportunities to do these things (ie: take her dishes to the sink or putting the stool by the sink so she can wash her hands.,0
1279,1279,Distraction - music on ipod. ,0
2040,2040,Hand-over-hand,3
2897,2897,"(often in processing, organisation, sequencing, ",4
1650,1650,Lots of encouragement,1
1582,1582,"Gain more independence with bathing, dressing",1
716,716,Having clean play areas,0
1019,1019,"We keep some routines every day, especially dinner, bath, and bed.",0
654,654,Consistent and predictable routine,0
139,139,Regular attendance,0
439,439,For community attractions - we like to go earlier in the day when there is less people and therefore less noise and stimulation.,0
1192,1192,Having it be a familiar task makes her willing to do it for longer,0
2378,2378,who displays similar behavioural issues as you,4
1224,1224,Planning ahead and making sure that we have enough time to get to the activity without being rushed,0
2762,2762,youll be glad you had a big family,4
1681,1681,encouragement.,1
2064,2064,Teach how to make a sentence out of few words they provide,3
1861,1861,"When getting dressed, that he would follow verbal prompts and continue with the tasks. Eventually to complete without prompts. ",2
652,652,"choose daytime activities, nothing past bedtime",0
1215,1215, 1  to 1,0
665,665,having fun activities,0
2342,2342,I have had the sMe trouble . ,4
1987,1987,Hand-over-hand teaching,3
2863,2863, he is now 14 ,4
794,794,Demonstrating to her what I want her to be able to do,0
1862,1862,Ask him what he would like to do,2
535,535,Better communication with Mommy and Me teacher before each session. ,0
152,152,having the time and money to do these activities,0
796,796,Find a friend he can participate with,0
1547,1547,We have also successfully taken an opposite approach where we stand off more and give her time and space to play independently or initiate an interaction on her own.  It does take longer than if we were directly guiding her but we want her to be comfortable without requiring our help 100% of the time.,1
3059,3059,"His impulsivity and getting derailed mid-assignment looks like ADHD, ",4
579,579,Having more resources for those with less abilities in which our city lacks. All we have available is our local YMCA which does not provide any direct services outside of a disability service provider who is allowed to utilize the Y for these services for those with disabilities but it is very limited,0
611,611,Creating songs to go with the activity,0
1341,1341,Reading books on the routines. ,0
533,533,I talk to the teachers about any problems or concerns my child may have,0
2670,2670,"He's been in trouble at school many times for hurting other children, ",4
2263,2263,NOT IN DAYCARE,4
1400,1400,Give praise and encouragement when he is participating in activities,1
1284,1284,"All of the adults in my family will play games with him, give hugs (his favorite), do various speech/physical/occupational therapy activities with him, etc.",0
3050,3050,and a 3 year old son.,4
2131,2131,Cannot read SDM's writing,4
1294,1294,Allowing more time to do such activities,0
740,740,"Added support by aides to facilitate her (she is slower, gets distracted, etc)",0
2335,2335,(starts throwing things at us for no reason other than to try and get a reaction) ,4
749,749,Socialize with other families who have children close in age.,0
2963,2963,because I do not have the usual contacts with her? ,4
1390,1390,"For brushing teeth someone needs to put the toothpaste on, she does the first brushing by herself and then an adult needs to assist her with getting the areas she misses",1
2692,2692,He said he never knew why until his doctor checked his blood.,4
811,811,Being close to the activities so it doesn't cost us much in gas.,0
64,64,"He is a bit shy, so we tell him what is happening before we go and give a clear explanation of what will be expected of him.",0
3091,3091,it's a marathon.,4
1425,1425,encourage him to do it himself,1
362,362,we need to add this to our calendar and plan to attend,0
2638,2638,as to why she can't go to bed. ,4
3031,3031,Is that possible that she is experiencing adjustment difficulties ,4
1521,1521,"We have to encourage her to actually do activities, she is such a homebody and would prefer to stay home.  Once she is doing whatever activity we are doing, she is happy, it's just getting her to start that is hard. ",1
947,947,3 adult family members to help,0
1860,1860,Giving her choices of activities instead of always choosing for her,2
899,899,Incorporate reading into bedtime routine.,0
328,328,"Making sure he has enough alone time/quiet time when we do have guests over, so he is not overstimulated.",0
2668,2668,"has started displaying problems again,",4
1591,1591,let him lead the play,1
1402,1402,Positive reinforcement & rewards for doing these chores with out being asked,1
576,576,Continue to participate and be more interactive,0
1526,1526,asking her for help,1
1626,1626,Encouraging more sign language for wants and needs. ,1
736,736,routines and structure,0
1177,1177,"When the weather is nice we often will do outdoor activities (walks, feed the ducks, play on the swings/playground)",0
875,875,more advanced notice regarding special events/changes,0
2649,2649,also your right it goin to be a real journey ,4
1921,1921,Lots of verbal prompting.,2
933,933,We lead them in these activities. We're very hands on.,0
678,678,Provide opportunities daily,0
592,592,Increase parental social life,0
1477,1477,Encourage him. Lots of encouragement! ,1
1817,1817,A reward.,2
227,227,Playing familiar games,0
2885,2885,The wrist x-ray confirmed that her bone age was over 8years old,4
1933,1933,He hates the vacuum on but loves to check it out when off. We always let him help wrap the cord and put it away in the closet.,2
648,648,availability of parks,0
269,269,having a calm environment,0
2858,2858,"I'm a SAHM, she's an only. She plays very little on her own, with hardly any imaginary play.",4
1684,1684,Be patient and encouraging. Take the time to allow his brain to process requests beofre repeating,1
2517,2517," kids that go of track when clever are normaly bored
",4
1802,1802,Model the behavior we want,2
2444,2444,know the benefit of being able to address a concern effectively.,4
686,686,"Had to take [name] to the ER recently and he screamed all the way in,while there and on the way out. I think the unknown and new environment made him very scared. To help him I asked for a blanket for him to hold onto and talked about all of his favorite movies and characters",0
164,164,Giving her things to do that she can actually do (ie: put her clothes away),0
2912,2912,she grew out of it.,4
1155,1155,Looking at books together ,0
2155,2155,Helps us to avoid food-based activities due to severe food restrictions he has.,4
829,829,We have all these activities available at home so when the time comes to wanting to do it they are easily accessable.,0
931,931,Loose clothing easy to take on/off,0
47,47,Limiting the movement such as riding in a cart that looks like a car helps.  He even puts on the seatbelt himself.,0
991,991,We try not to over stimulate him with too many people which can creat too much excitement for him.,0
2799,2799,So sorry for the long rant ,4
1606,1606,Giving him more opportunities to assist with making meals instead of encouraging him to play outside of the kitchen during meal prep,1
1274,1274,"For parents to have more time to participate in community activities, gatherings and events. Taking a child to all those more often",0
2270,2270,Teachers are knowledgeable about my child's needs + abilities,4
3068,3068,I'm wondering if your family is American? ,4
2721,2721,There was no real explanation why. ,4
2675,2675," his trouble concentrating in class , ",4
2482,2482,because hes screaming and crying so much ,4
70,70,"show her how to do the activity,  Let her watch someone else do it first.",0
1534,1534,Include him in the activities.,1
3020,3020,at nursery always fighting where she nearly had a boys eye out,4
1640,1640,remember to bring her favorite blanket or toy for comfort,1
2711,2711,My son is 9 months old and recently started making this weird involuntary noise during a specific babble noise.,4
1060,1060,Teacher sits him beside his friends,0
1932,1932,"Making choices about what to eat and following through (waffle or eggs for breakfast, etc)",2
1732,1732,Offering a dance party when all the toys are picked up.,2
403,403,Keep the routine constant from day to day.,0
3043,3043,He is a super sweet boy most of the time,4
23,23,encouraging outdoor play.  We go on walks or play on trampoline. She is involved in swim lessons once a week.,0
2906,2906, I no the kids only have couple days left of school before they break up,4
192,192,good weather,0
1506,1506,Making it seem like a huge favor to help me,1
2698,2698,with constent ear and chest infections ,4
2534,2534,as the first doesn't work ,4
483,483,"Spending quality time with her such as reading books,puzzles",0
2724,2724,my mum took him off me ,4
2247,2247,Budget money for parents night out. ,4
2795,2795,just the item i want ,4
2702,2702,"My sons aren't severe in any impairment, ",4
1512,1512,Mom asks daughter to sleep at the bedtime by trying to sleep herself,1
357,357,"Having a parent enclose his space, such as sitting on each end, helps to keep him in his area.  This only lasts a short while. Then, a parent walks around with him at the venue.",0
1960,1960,help him interact with others,3
2544,2544,So my daughter may have precocious puberty. ,4
978,978,Divide and explain the responsibility of helping each other out in daily household chores. ,0
1533,1533,Give him more exposure to activities,1
1104,1104,Seek assistance.,0
2097,2097,Needs help with maintaining focus in group setting,4
614,614,examples,0
2547,2547,My son is 7 in July ,4
1256,1256,Better when we find things to do on a weekend.,0
683,683,"Schedules/Communication Book/Vest, all help when he is feeling lost or confused, which can lead to tantrums",0
2771,2771,with a big family .,4
2298,2298,Brushing his own teeth well enough for me to not have to intervene.,4
962,962,"Again, a 4-6 step schedule with simple pictures helps immeasurably. He knows precisely what is asked of him and follows everything to the letter.",0
1754,1754,We offer choices in foods/ snacks- encourage her to choose from options,2
136,136,Have her sister show her how to do things,0
2446,2446,"sure enough, after a while, she gets in pain, think the pain is just a normal tummy ache.",4
322,322,"Age appropriate seating and feeding aids to allow her to ""fit in"" and participate.",0
1994,1994,instruct manners,3
2244,2244,Grow up :),4
2511,2511,Around 9 months before ,4
1742,1742,give her options with the games she can play,2
2567,2567,this was going on for at least 2 weeks ,4
997,997,we walk through the home to show her what toys need to be picked up,0
1309,1309,Provide opportunities for her to participate in the activity,0
1330,1330,"Patience, letting him do it himself.",0
380,380,His siblings play with him a lot,0
786,786,"when playing games with other kids, make sure he is included",0
2415,2415,again bloody CALPOL. ,4
2050,2050,repetition of instructions ,3
976,976,Preparation- making sure we know what she is going to do at school,0
42,42,"Research! Tons of research on everything, ideas on how to do things, things to do, places to go, etc. ",0
1799,1799,get him excited,2
1180,1180,Arrange work schedule to fit in more activities,0
3010,3010,thats how desperate we are.  ,4
3040,3040,My brother had Aspergers and my nephew as ADHD.  ,4
2797,2797," I agree that it's more of a psychological Issue, especially going into young adulthood. ",4
724,724,Introduce new activities that are age appropriate.,0
2549,2549,"My son has been aneamic, ",4
503,503,Maybe talk about what we are doing,0
2915,2915,If there is a way to do it ,4
1360,1360,knowledge of the event,0
1354,1354,Have items necessary for sanitation for activities so child does not get sick,0
2276,2276,Rest - I would like her to be able to calm & fall asleep on her own - right now someone needs to lay with her to fall asleep,4
1391,1391,Make it more geared to involve him,1
25,25,We have family day with her 2 cousins every other Sunday at her father's parents house.,0
312,312,As for social gatherings we try not to attend too many but a few that we know he would like. Our son has a few good friends that they play really well and so we try to schedule those a few times a week.,0
410,410,Having appropriate activities available year round,0
935,935,This is a tough one. He doesn't speak much so the activities are very limited. I try regardless of how sad it does make me when he doesn't know how to engage to still take him to parties and get togethers. I know he can't improve without exposure.,0
2011,2011,"Improved hand coordination and use for holding crayons, paint brushes, etc.",3
2991,2991," She had breast development, pubic hair and body odour. ",4
775,775,Rocking him while singing a song and then putting him down awake (currently can't self soothe,0
1543,1543,Encourage independent play with friends,1
2154,2154,I wish I could find something besides screens that would keep his attention.,4
1967,1967,me and his father work on his fine motor skills,3
553,553,Visit daycare environment to maintain familiarity ,0
662,662,"Let him have enough quiet/free time to centre himself, before requesting his participation in group/family activities",0
1758,1758,Reinforcers,2
2664,2664, it's my first time here. ,4
1205,1205,Buy thoughtful engaging products.,0
1388,1388,keeping a calm voice even when there may be some frustration,0
1018,1018,"Having equipment that is her size, ie: at daycare the sink for her to wash her hands is at her level.",0
1290,1290,Finding jobs that suit their abilities,0
2733,2733,I am hoping that they can start treatment soon,4
17,17,Create more family outing opportunities. ,0
1791,1791,Providing lots of choice. ,2
2288,2288,"My son's neurologist has asked that we not travel away from an area with a comprehensive Children's Hospital, due to his erratic hospitalizations.  Once my son is fully vaccinated from COVID, we hope to be able to travel to see his grandparents in California.",4
1469,1469,Letting him do the scooping/pouring of pet food daily,1
2566,2566,and he still has it.,4
2414,2414,"I assumed he was faking it to get away from this boy, lo and behold, a fever of 39",4
2465,2465,he just couldn't see well enough to do fairly simple tasks. ,4
426,426,Inclusion facilitator to assist with one-on-one support at daycare,0
1497,1497,Have lot so patience and time. ,1
1961,1961,Help him where he's struggling,3
1151,1151,bring things to occupy him,0
839,839,Invite more people over for him to play with,0
2314,2314,I wish he would participate more.,4
1970,1970,repetition,3
2611,2611,"He seemed to imply that 6 was too young for puberty,",4
1062,1062,choosing activities that have some physical active component,0
436,436,If we can plan out our entire day and use his schedules it helps [name] a lot.,0
1426,1426,encouragements,1
1979,1979,Help him be the one that clean up,3
1738,1738,Turn it into a game,2
2431,2431,we had \NO troub les with him at home. ,4
1363,1363,We take him to all the parties he is invited to so he has more exposure to a social environment.,0
2827,2827, her husband has raised my daughter to this day,4
1362,1362,"Social stories help a LOT with things like Doctor appointments, haircuts, etc.",0
2811,2811,he also has nystagmus speech delay communication problems being investigated for low spectrum autism,4
2545,2545,there is at least one ultrasound to monitor,4
45,45,having the time and opportunity to take her to more things ,0
2076,2076,Teach them how to do the daily tasks that needs to happen. ,3
1562,1562,The exact opposite is true in her music class.  She is much more shy and clingy.  I do a mix of giving her space to run around when she lets loose but she definitely wants to stay close in that class.  It is also our newest class.  I try to be there for her but still make a point not push her towards independence.  Example: for family dance time she wants me to pick her up for dancing.  I may begin with that as I know she's not comfortable but after a short bit I put her down and I know she loves to spin so we spin together and she gradually works up to dancing more independently.  ,1
2043,2043,Develop pincer grasp for better picking up of finger foods so he can do it by himself.,3
2148,2148,"She is 15 months old, I feel as though everything sometimes helps, sometimes hinders. Nothing has changed because of her hospital stay",4
1112,1112,Break it into smaller tasks,0
1372,1372,provide proper nutrition such as adequate meals and snacks so no one has the opportunity to be hungry. ,0
1026,1026,modeling,0
1750,1750,"Enjoys putting the laundry into the washer, especially being able to toss in the soap. Thinks of this activity as a game. ",2
120,120,Providing with a wide variety of familiar and new toys during travel,0
1271,1271,Keeping track and putting a limit to the amount of screen time he gets,0
739,739,My best strategy to participate my child in the community taking him to church and participating in my friends Birth day.,0
3037,3037,Quite often she will cut her nose off ,4
2907,2907, It is aslo common for a person wiht ASD ,4
262,262,having more money to support enrollment in groups and sports,0
777,777,"Lots of physical support, holding, affection helps.",0
1485,1485,We are trying to enlist his involvement in helping prepare his foods and prepare the table for meals. We use many games during meals to help his successfully finish meals. ,1
1484,1484,"When asked to pick up toys, she says, ""I don't know how to do that.""  When we do it together, she helps a little bit.",1
903,903,"Have a safe area dedicated to her play (with mat, age appropriate toys, open)",0
1054,1054,Having an extra hand ,0
664,664,Playing with a sibling ,0
2033,2033,Work on fine motor skills. ,3
2366,2366,My daughter has had a rash on lips and around mouth for more than 2 weeks,4
44,44,just don't tell him we are going,0
1888,1888,"Have them walk with me around the house, whether it's cleaning, pooint to teach them",2
2455,2455,i  like everything just so ,4
2533,2533,"on the way things are done, ",4
2931,2931,tough on him as well as us as we try to help him. ,4
2654,2654,suggests that his behaviour is not appropriate ,4
1349,1349,"Most play has to be modeled, and we are busy with meal prep, etc.",0
1134,1134,We have a mini trampoline that helps all the kids burn off some energy.,0
1572,1572,Allowing her her independence to learn,1
260,260,Encourage grandparents to take on overnights.,0
769,769,Family rules and policies.,0
495,495,Talk with him re: what to expect about school.,0
1940,1940,letting him choose games/music/etc,2
10,10,Using a loud kitchen timer when it's time to transition and clean up,0
1514,1514,We try to show that there's nothing to fear,1
2625,2625,in the toilets with his friends ,4
315,315,Limit screen time activities,0
1825,1825,making the work a game,2
1768,1768,set expectations ahead of time,2
882,882,Baby proofed the home to make it as safe as possible. ,0
981,981,read books about outings,0
2030,2030,Potty training,3
828,828,Finding family friendly safe events to participate in.,0
177,177,"Schedule play date with new friends, so he can meet others",0
1270,1270,He has an IEP so he automatically qualified for bus transportation. This is a HUGE HELP!,0
2096,2096,I want to do these things more often,4
2628,2628,can't get through to him about him having to go to school and he is getting very upset every morning,4
210,210,use of fm system to ensure hearing instructions,0
2911,2911, I have no idea ,4
3084,3084,but I cannot manage to even begin to explain her behaviour. ,4
953,953,Being outgoing.,0
2595,2595,The fact that your little one understands ,4
2352,2352,now I'm worried it could affect his heart.,4
1288,1288,Following a sleep schedule.,0
2286,2286,Realizes when he has to get ready because we are going somewhere. Will generally follow through on completing the task at hand. ,4
281,281,Coordinate therapies during the day when she is most active and interested. ,0
3038,3038,Recently she nearly got suspended,4
143,143,Posting picture schedules of routines,0
2824,2824,One morning I walked into their kitchen ,4
602,602,We buy or ask as gifts educational toys that help with his sensory input needs.,0
1436,1436,adequate snacks and meals offered,1
2904,2904,(the dr we're seeing) said it was working.,4
225,225,Providing lots of different types of activities to see what interests her/where skills lie,0
821,821,Small groups,0
2219,2219,Not capable of change,4
1725,1725,"something to make him want to go, usually wants to stay home with daddy",2
2136,2136,Unsure?,4
1694,1694,Encouraging her to try new things and make friends independent of her parents,1
1611,1611,"With meal preparation as she gets older to have a certain task that she will have to do. With helping the dog,  by helping with basic care as she gets older.With laundry and/or dishes,  she helps some now with the dishwasher,  but would like to see more involvement.",1
1516,1516,Letting him to hold something or bring something of his.,1
1472,1472,I praise her for building blocks very high or succeeding at completing a puzzle correctly. ,1
1235,1235,Inclusion facilitator,0
1145,1145,Try to go to restaurants that serve quickly so he doesn't melt down,0
133,133,We have story time each nite before bed.  Sometimes we listen to books on tape while the holding the book.,0
721,721,Attend gatherings for social interaction.,0
1088,1088,Earlier in the day is better.,0
2626,2626,"We thought something was ""wrong"" ",4
801,801,taking her to the play ground ,0
2817,2817,it's just that My daughter didn't realise quite how much.,4
1083,1083,Space to remove himself to if he becomes overwhelmed.,0
1857,1857,let him pick out different games to do on phone,2
635,635,Take the time to have him repeatedly try to get himself dressed each a.m.,0
1954,1954,"Self teaching baby sign language to entire family, slowly. Now to start physio whenever in hosp and have dev md follow *name*",3
2694,2694,my daughter use to do this,4
1329,1329,groups for kids with similar challenges,0
630,630,Involve others in an activity such as swimming or a board game.,0
2323,2323," Some people do need medication, ",4
502,502,We try out new venues when something comes available in our town. ,0
2238,2238,prayer before going,4
2814,2814, I think he has attracted the attention of bullies and thugs because he looks 'gay' and can appear a bit 'camp',4
989,989,allow her to sit near friends so she is comfortable,0
2231,2231,We have not enrolled our son in any organized groups but perhaps once he starts school he will show some interest.,4
987,987,Talk to others about the events.,0
799,799,Sign of for bible school vacation,0
659,659,Make activities part of a routine,0
919,919,"Started limiting screen time, though harder to do when weather is bad",0
1042,1042,Money to pay for programs,0
2985,2985,"when patient.info sent a forums summary, ",4
1405,1405,ask her for help with certain tasks,1
141,141,"[name] fixates on any screen time he gets, so we already try to limit it. We go for walks and go to the park. We try not to have the tv on much during the day if we can help it. If the tv is off when [name] wakes up, he will go to play with his toys rather than ask for a favorite movie. ",0
714,714,Everything has its place so if I ask him to put something away he knows where it goes.,0
1712,1712,Make activities exciting and intriguing.,2
2987,2987,He also complain of his stomach hurts severely minutes after he eats,4
1536,1536,Ensuring she is well rested,1
715,715,Our adult-child ratio is typically 1:2 or at times 1:1. Typically well supported through events/activities,0
2118,2118,"Have contacted Special Olympics, just waiting for paperwork processing.",4
1942,1942,"Making a deal: ""First eat your dinner, THEN we can ___""",2
2223,2223,He is not in daycare - he has a nanny.,4
1878,1878,Taking him to events that child is interested in,2
745,745,Attend social events.,0
474,474,Interact with pets,0
1809,1809,A reward for completing tasks.,2
3002,3002,"If I let him, he will argue back and forth with me for hours",4
2392,2392,"He does [walking along walls and staring at the wall] also with counter tops, or other lined areas that are his head height. He usually does it mostly if he is tired or stressed or there is too much sensory stimulation going on around him. ",4
2071,2071,Understands that he should not hit other children. ,3
1412,1412,Teacher encouragement,1
1553,1553,Display an enthusiastic and encouraging attitude.,1
1797,1797,going to the activities that he is interested in,2
2348,2348, risk the early on set of dementia. ,4
107,107,read books to him about it,0
2741,2741,"stopped having tantrums, misbehaving in school, ",4
1218,1218,Visual transitions,0
1609,1609,Peer encouragement,1
441,441,Special shorter chair with a strap- modified equipment. ,0
1444,1444,"Our son moves better in the tub, we encourage 'swimming' also he will tilt his head to wet/rinse hair",1
2128,2128, occurs in places he feels comfortable,4
587,587,Check his work after he says he is done.,0
792,792,I also take her to parks for the same reason when weather permits,0
1382,1382,plan frequent stops on road trips,0
287,287,"Participate in activities with her, sometimes hand-over-hand doing the task",0
2895,2895,He does not sleep through the night ,4
1243,1243,Arrange to have cousins play together (very close in age),0
1328,1328,Shared meals. ,0
1729,1729,Encourage interest,2
1450,1450,Encourage to try new things,1
986,986,Having other kids participate in the same activities and be a model for expected behavior and actions. ,0
974,974,Audio timer,0
1504,1504,To wash his own body during bath time.,1
224,224,Offer more opportunities,0
1575,1575,"Praise, positive reinforcement, encouragement.",1
1917,1917,"Creating a pleasant and fun environment by having his favorite toys, books, games.",2
1959,1959,Picking up bulky object toys is a new milestone for him. Yes I would love for him to be running around and unpacking groceries but *name* is unable to stand on his own,3
1568,1568,"give her high fives,tell her good job when she is all done",1
402,402,Patience in letting him try it himself.,0
733,733,Spend 1:1 time with him also my parents help out- without distractions,0
2609,2609,it's soooo diluted ,4
433,433,We always explain what we are doing so when we tell him what is coming up he is less likely to be upset when the change from one activity to another happens.,0
701,701,Introducing and engaging him in the various activities.,0
1528,1528,Tristyn has weekly feeding therapy.  He has been helping to make more of the foods we'd like him to eat here at home.  It's working!  He loves to bake!  ,1
1366,1366,Give him lots of instructions. ,0
2753,2753,This usually means a tantrum ,4
805,805,I show him over and over how to do things,0
391,391,Babyproof home,0
1115,1115,Demonstrating and allowing her to try it herself before stepping in,0
2845,2845,id say its the size of a small plum,4
2184,2184,Older siblings stay with her when my husband and I work,4
