,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Dataset,ID,strategy,broad activity ,setting ,label,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
376,376,1029,1586,1586,1910,SNF Supp.,111,having her sister participate as well,play,home,0.0,,,,,,,,,,,,,,,,,,,,
377,377,1035,1592,1592,1916,SNF Supp.,111,Having them set high expectations and holding her to those,daycare/preschool,daycare/preschool,2.0,,,,,,,,,,,,,,,,,,,,
378,378,999,1556,1556,1880,SNF Supp.,111,"Added support by aides to facilitate her (she is slower, gets distracted, etc)",educational activity,daycare/preschool,0.0,,,,,,,,,,,,,,,,,,,,
379,379,1014,1571,1571,1895,SNF Supp.,111,Ensuring that we have plenty of time so no one is rushed as that makes her behavior issues worse,educational activity,daycare/preschool,0.0,,,,,,,,,,,,,,,,,,,,
380,380,1056,1613,1613,1937,SNF Supp.,111,Staying with her to show her how to interact and play.  ,social ,home,0.0,,,,,,,,,,,,,,,,,,,,
381,381,1026,1583,1583,1907,SNF Supp.,111,Having extra sets of hands/eyes,community sponsored,community,0.0,,,,,,,,,,,,,,,,,,,,
382,382,1027,1584,1584,1908,SNF Supp.,111,Having friends and people in the community know her and accept her,community,community,0.0,,,,,,,,,,,,,,,,,,,,
383,383,1048,1605,1605,1929,SNF Supp.,111,Play with her and her friends and show them how to do pretend play scenes,social ,home,0.0,,,,,,,,,,,,,,,,,,,,
384,384,1003,1560,1560,1884,SNF Supp.,111,Breaking the skill down into mini-steps and helping her learn those individually,basic care routine,home,3.0,,,,,,,,,,,,,,,,,,,,
385,385,1033,1590,1590,1914,SNF Supp.,111,having patience and not being in a rush,neighborhood outings,community,0.0,,,,,,,,,,,,,,,,,,,,
386,386,1036,1593,1593,1917,SNF Supp.,111,Her sister being able to participate with her,community,community,0.0,,,,,,,,,,,,,,,,,,,,
387,387,1001,1558,1558,1882,SNF Supp.,111,Be more organized so that I can focus 100% on her,community sponsored,community,0.0,,,,,,,,,,,,,,,,,,,,
388,388,1041,1598,1598,1922,SNF Supp.,111,Limiting the amount of walking required,neighborhood outings,community,0.0,,,,,,,,,,,,,,,,,,,,
389,389,1060,1617,1617,1941,SNF Supp.,111,Watch typical friends and try to encourage them to try to include her in their play,social ,home,0.0,,,,,,,,,,,,,,,,,,,,
390,390,1043,1600,1600,1924,SNF Supp.,111,making sure timing is right...not right before or after a nap,community,community,0.0,,,,,,,,,,,,,,,,,,,,
391,391,1050,1607,1607,1931,SNF Supp.,111,Routines and consistency so she knows what to expect.,basic care routine,home,0.0,,,,,,,,,,,,,,,,,,,,
392,392,1010,1567,1567,1891,SNF Supp.,111,ensuring she isn't tired or hungry or bringing snacks to keep her happy,community sponsored,community,1.0,,,,,,,,,,,,,,,,,,,,
393,393,1046,1603,1603,1927,SNF Supp.,111,Plan ahead and tell her what is going to happen,recreational,community,0.0,,,,,,,,,,,,,,,,,,,,
394,394,1004,1561,1561,1885,SNF Supp.,111,"Bringing food for parties that is similar to what the other kids are eating, but still fits within her dietary restrictions",daycare/preschool,daycare/preschool,0.0,,,,,,,,,,,,,,,,,,,,
395,395,1037,1594,1594,1918,SNF Supp.,111,Keeping the house organized and the toys and clutter to a minimum,home,home,0.0,,,,,,,,,,,,,,,,,,,,
396,396,1039,1596,1596,1920,SNF Supp.,111,keeping the length of event short so she doesn't fatigue,classes and groups,community,0.0,,,,,,,,,,,,,,,,,,,,
397,397,1025,1582,1582,1906,SNF Supp.,111,"having an older child ""helper""",community,community,0.0,,,,,,,,,,,,,,,,,,,,
398,398,1009,1566,1566,1890,SNF Supp.,111,Ensuring she is well rested and red prior to heading out into community.,neighborhood outings,community,1.0,,,,,,,,,,,,,,,,,,,,
399,399,1006,1563,1563,1887,SNF Supp.,111,Doing the activity with her instead of hoping she will do it independently,play,home,0.0,,,,,,,,,,,,,,,,,,,,
400,400,1049,1606,1606,1930,SNF Supp.,111,Regular prompts and encouragements,basic care routine,home,2.0,,,,,,,,,,,,,,,,,,,,
401,401,1059,1616,1616,1940,SNF Supp.,111,Trimming down the toys so that there aren't as many out and available at any given time,chore,home,0.0,,,,,,,,,,,,,,,,,,,,
402,402,1002,1559,1559,1883,SNF Supp.,111,Break it into smaller tasks,home,home,0.0,,,,,,,,,,,,,,,,,,,,
403,403,1013,1570,1570,1894,SNF Supp.,111,Ensuring that the timing is correct so she is not tired and is not hungry,classes and groups,community,0.0,,,,,,,,,,,,,,,,,,,,
404,404,1057,1614,1614,1938,SNF Supp.,111,Talking about upcoming events before they happen,daycare/preschool,daycare/preschool,0.0,,,,,,,,,,,,,,,,,,,,
405,405,1021,1578,1578,1902,SNF Supp.,111,have the food prep and table set prior to guests arriving so that I can spend more time with her and the guests,social ,home,0.0,,,,,,,,,,,,,,,,,,,,
406,406,1024,1581,1581,1905,SNF Supp.,111,Having a place for all toys and labeling the storage bins appropriately,chore,home,0.0,,,,,,,,,,,,,,,,,,,,
407,407,1022,1579,1579,1903,SNF Supp.,111,Having a motivating event or item waiting for her at the end of outing,neighborhood outings,community,2.0,,,,,,,,,,,,,,,,,,,,
408,408,860,1417,1417,1741,SNF Supp.,53,keeping trips short and focused,community,community,0.0,,,,,,,,,,,,,,,,,,,,
409,409,879,1436,1436,1760,SNF Supp.,53,"talk to her about what we are going to do, and what to expect",community sponsored,community,0.0,,,,,,,,,,,,,,,,,,,,
410,410,875,1432,1432,1756,SNF Supp.,53,taking along quiet activities to keep her distracted when necessary,community,community,0.0,,,,,,,,,,,,,,,,,,,,
411,411,877,1434,1434,1758,SNF Supp.,53,talk about the party before hand so she knows what to expect,social ,home,0.0,,,,,,,,,,,,,,,,,,,,
412,412,855,1412,1412,1736,SNF Supp.,53,feeling like the childcare providers care about her,daycare/preschool,daycare/preschool,4.0,,,,,,,,,,,,,,,,,,,,
413,413,856,1413,1413,1737,SNF Supp.,53,find programs that will be patient and work with her,classes and groups,community,0.0,,,,,,,,,,,,,,,,,,,,
414,414,851,1408,1408,1732,SNF Supp.,53,"be certain that the classes are within HER interest, not just something I want her to like.",classes and groups,community,2.0,,,,,,,,,,,,,,,,,,,,
415,415,873,1430,1430,1754,SNF Supp.,53,strong supervision,chore,home,0.0,,,,,,,,,,,,,,,,,,,,
416,416,866,1423,1423,1747,SNF Supp.,53,"positive feedback--eg.  ""wow you're doing so good at...""",basic care routine,home,1.0,,,,,,,,,,,,,,,,,,,,
417,417,858,1415,1415,1739,SNF Supp.,53,having me with her to help her feel secure,community,community,1.0,,,,,,,,,,,,,,,,,,,,
418,418,878,1435,1435,1759,SNF Supp.,53,talk before going to an activity so she knows what to expect and what is expected of her.,educational activity,daycare/preschool,0.0,,,,,,,,,,,,,,,,,,,,
419,419,854,1411,1411,1735,SNF Supp.,53,feeling comfortable in the setting,daycare/preschool,daycare/preschool,1.0,,,,,,,,,,,,,,,,,,,,
420,420,850,1407,1407,1731,SNF Supp.,53,be certain she is comfortable with the new people in the home,social ,home,1.0,,,,,,,,,,,,,,,,,,,,
421,421,872,1429,1429,1753,SNF Supp.,53,stay with her so she doesn't feel scared in new settings or surroundings,recreational,community,1.0,,,,,,,,,,,,,,,,,,,,
422,422,868,1425,1425,1749,SNF Supp.,53,reward behavior--eg. read a story when the task is complete,basic care routine,home,2.0,,,,,,,,,,,,,,,,,,,,
423,423,874,1431,1431,1755,SNF Supp.,53,take quiet activities for her to keep occupied at restaurants,neighborhood outings,community,0.0,,,,,,,,,,,,,,,,,,,,
424,424,864,1421,1421,1745,SNF Supp.,53,plan frequent stops on road trips,recreational,community,0.0,,,,,,,,,,,,,,,,,,,,
425,425,869,1426,1426,1750,SNF Supp.,53,share my excitement for the trip or activity,community sponsored,community,0.0,,,,,,,,,,,,,,,,,,,,
426,426,859,1416,1416,1740,SNF Supp.,53,keep trips short and focused,neighborhood outings,community,0.0,,,,,,,,,,,,,,,,,,,,
427,427,857,1414,1414,1738,SNF Supp.,53,having friends,daycare/preschool,daycare/preschool,0.0,,,,,,,,,,,,,,,,,,,,
428,428,847,1404,1404,1728,SNF Supp.,53,Allow as much self-exploration as is safe and possible,community sponsored,community,1.0,,,,,,,,,,,,,,,,,,,,
429,429,853,1410,1410,1734,SNF Supp.,53,encourage her to talk more,educational activity,daycare/preschool,1.0,,,,,,,,,,,,,,,,,,,,
430,430,862,1419,1419,1743,SNF Supp.,53,"make sure proper support is available--stools to reach countertops, handrails on the stairs, etc.",home,home,0.0,,,,,,,,,,,,,,,,,,,,
431,431,871,1428,1428,1752,SNF Supp.,53,"show her how to do the activity,  Let her watch someone else do it first.",home,home,0.0,,,,,,,,,,,,,,,,,,,,
432,432,848,1405,1405,1729,SNF Supp.,53,allow her to be creative,classes and groups,community,1.0,,,,,,,,,,,,,,,,,,,,
433,433,863,1420,1420,1744,SNF Supp.,53,making the work a game,chore,home,2.0,,,,,,,,,,,,,,,,,,,,
434,434,865,1422,1422,1746,SNF Supp.,53,playing games while doing the routine,basic care routine,home,2.0,,,,,,,,,,,,,,,,,,,,
435,435,867,1424,1424,1748,SNF Supp.,53,remember to bring her favorite blanket or toy for comfort,recreational,community,1.0,,,,,,,,,,,,,,,,,,,,
436,436,861,1418,1418,1742,SNF Supp.,53,letting her be part of the job/whole family activity,chore,home,1.0,,,,,,,,,,,,,,,,,,,,
437,437,852,1409,1409,1733,SNF Supp.,53,be patient,home,home,0.0,,,,,,,,,,,,,,,,,,,,
438,438,849,1406,1406,1730,SNF Supp.,53,allow her to sit near friends so she is comfortable,educational activity,daycare/preschool,0.0,,,,,,,,,,,,,,,,,,,,
439,439,876,1433,1433,1757,SNF Supp.,53,talk about the appointment and what to expect,neighborhood outings,community,0.0,,,,,,,,,,,,,,,,,,,,
440,440,870,1427,1427,1751,SNF Supp.,53,share the excitement of having someone visit,social ,home,0.0,,,,,,,,,,,,,,,,,,,,
441,441,2697,3254,3504,3828,SNF Supp.,840,He loves the water and the beach.  Bringing lots of sand toys to build and dig.,recreational,community,0.0,,,,,,,,,,,,,,,,,,,,
442,442,2713,3270,3520,3844,SNF Supp.,840,"We all try to use a calm voice and ""use our words"".",home,home,0.0,,,,,,,,,,,,,,,,,,,,
443,443,2726,3283,3533,3857,SNF Supp.,840,We have a new park and playground which is great and we ride our bikes there and back.,recreational,community,0.0,,,,,,,,,,,,,,,,,,,,
444,444,2724,3281,3531,3855,SNF Supp.,840,"We had a family vacation this summer where we stayed in a hotel and flew out the next day.  We had lots of energy but we had our favourite movies, snacks and bear with us.",recreational,community,4.0,,,,,,,,,,,,,,,,,,,,
445,445,2718,3275,3525,3849,SNF Supp.,840,We bring his DS or Ipad to help keep our son settled and sitting down while we are at the doctors etc.,outing ,community,0.0,,,,,,,,,,,,,,,,,,,,
446,446,2738,3295,3545,3869,SNF Supp.,840,"We sing songs while cleanning up. If he wants to do something else, we say to him ""first we need to clean up our toys, then we can watch a movie"".",chore,home,0.0,,,,,,,,,,,,,,,,,,,,
447,447,2739,3296,3546,3870,SNF Supp.,840,We try not to over stimulate him with too many people which can creat too much excitement for him.,socializing,home,0.0,,,,,,,,,,,,,,,,,,,,
448,448,2720,3277,3527,3851,SNF Supp.,840,We get out the apron and stool so he can help us with measuring and pouring.,chore,home,1.0,,,,,,,,,,,,,,,,,,,,
449,449,2719,3276,3526,3850,SNF Supp.,840,"We bring some of his favourite things to play on in group settings such as a party.  For example, his DS or our Ipad for games.  It keeps him settled and focused.",socializing,home,0.0,,,,,,,,,,,,,,,,,,,,
450,450,2722,3279,3529,3853,SNF Supp.,840,We go to restaurants I know our son will sit down and eat.,outing ,community,0.0,,,,,,,,,,,,,,,,,,,,
451,451,2691,3248,3498,3822,SNF Supp.,840,Earlier in the day is better.,group,community,0.0,,,,,,,,,,,,,,,,,,,,
452,452,2696,3253,3503,3827,SNF Supp.,840,He loves the games we have on the IPAD and it helps him with his letters and numbers too.,play,home,0.0,,,,,,,,,,,,,,,,,,,,
453,453,2699,3256,3506,3830,SNF Supp.,840,"Hiking is great, he knows to stay on the path.",recreational,community,4.0,,,,,,,,,,,,,,,,,,,,
454,454,2706,3263,3513,3837,SNF Supp.,840,Parties and guests I like to have over during the day so that it is not close to bed time.,socializing,home,0.0,,,,,,,,,,,,,,,,,,,,
455,455,2714,3271,3521,3845,SNF Supp.,840,We also have a mini trampoline to help him with burning off some energy.,home,home,0.0,,,,,,,,,,,,,,,,,,,,
456,456,2729,3286,3536,3860,SNF Supp.,840,We have music lessons once a week and our son really likes it.  He has a great teacher who keeps his attention and gets him to participate.,group,community,0.0,,,,,,,,,,,,,,,,,,,,
457,457,2716,3273,3523,3847,SNF Supp.,840,We avoid busy crowded events that would be too much for our son.,community,community,0.0,,,,,,,,,,,,,,,,,,,,
458,458,2728,3285,3535,3859,SNF Supp.,840,We have a really great music teacher that keeps our son engaged in the class.,group,community,0.0,,,,,,,,,,,,,,,,,,,,
459,459,2744,3301,3551,3875,SNF Supp.,840,We typically invite friends or family that we know get along with our son in a positive way.,socializing,home,0.0,,,,,,,,,,,,,,,,,,,,
460,460,2689,3246,3496,3820,SNF Supp.,840,Clean up - we sing songs too and have his siblings help as well.,chore,home,0.0,,,,,,,,,,,,,,,,,,,,
461,461,2723,3280,3530,3854,SNF Supp.,840,We go to the library to take out cd's and also audio books with pictures.,play,home,0.0,,,,,,,,,,,,,,,,,,,,
462,462,2712,3269,3519,3843,SNF Supp.,840,We add food colouring to water to make it fun and more stimulating.  ,play,home,2.0,,,,,,,,,,,,,,,,,,,,
463,463,2700,3257,3507,3831,SNF Supp.,840,House guests - I like to have people over that include our son and get along well with him.,socializing,home,1.0,,,,,,,,,,,,,,,,,,,,
464,464,2695,3252,3502,3826,SNF Supp.,840,Going to places where it is not too big so we can give him the unstructured opportunities.,recreational,community,0.0,,,,,,,,,,,,,,,,,,,,
465,465,2734,3291,3541,3865,SNF Supp.,840,We have recently started going to movies and he likes them alot.  We bring along some of his favourite treats to keep him in his seat.,community sponsored,community,0.0,,,,,,,,,,,,,,,,,,,,
466,466,2702,3259,3509,3833,SNF Supp.,840,Keeping things simple.,community,community,0.0,,,,,,,,,,,,,,,,,,,,
467,467,2742,3299,3549,3873,SNF Supp.,840,We try to keep the holiday gatherings and birthday parties simple and not too many people.,socializing,home,0.0,,,,,,,,,,,,,,,,,,,,
468,468,2710,3267,3517,3841,SNF Supp.,840,Sometimes at mealtimes we get out an apron and stool so he can help us cook dinner etc.,basic care routine,home,1.0,,,,,,,,,,,,,,,,,,,,
469,469,2721,3278,3528,3852,SNF Supp.,840,"We give our son jobs, and one is to help his siblings.  Also, we are getting him to put away his clean clothes and it helps that he has an older brother to help.",chore,home,0.0,,,,,,,,,,,,,,,,,,,,
470,470,2743,3300,3550,3874,SNF Supp.,840,We try to use our bikes lots and go to the pool.,recreational,community,0.0,,,,,,,,,,,,,,,,,,,,
471,471,2725,3282,3532,3856,SNF Supp.,840,We have a mini trampoline that helps all the kids burn off some energy.,home,home,0.0,,,,,,,,,,,,,,,,,,,,
472,472,2704,3261,3511,3835,SNF Supp.,840,"Our son likes to have time on the computer, so he has time on our Ipad.  ",home,home,0.0,,,,,,,,,,,,,,,,,,,,
473,473,2708,3265,3515,3839,SNF Supp.,840,Small groups,community,community,0.0,,,,,,,,,,,,,,,,,,,,
474,474,2740,3297,3547,3871,SNF Supp.,840,We try to find activities that is a right fit for our son.,community,community,0.0,,,,,,,,,,,,,,,,,,,,
475,475,2693,3250,3500,3824,SNF Supp.,840,Finding restaurants that serve food that our son likes.,outing ,community,2.0,,,,,,,,,,,,,,,,,,,,
476,476,2733,3290,3540,3864,SNF Supp.,840,We have really good friends that helps us with activities in the community.,community,community,0.0,,,,,,,,,,,,,,,,,,,,
477,477,2735,3292,3542,3866,SNF Supp.,840,We have seen a couple of movies in the theatre and go in the morning when it is less busy.,community sponsored,community,0.0,,,,,,,,,,,,,,,,,,,,
478,478,2688,3245,3495,3819,SNF Supp.,840,Bringing some activities to keep our son sitting at the table.,outing ,community,0.0,,,,,,,,,,,,,,,,,,,,
479,479,2698,3255,3505,3829,SNF Supp.,840,He sees his brothers doing the same basic care routines so he usually likes to join in.,basic care routine,home,0.0,,,,,,,,,,,,,,,,,,,,
480,480,2715,3272,3522,3846,SNF Supp.,840,"We are trying to get our son to be more involved in personal care management.  For example, giving him the chance to pick out his own clothes.",basic care routine,home,1.0,,,,,,,,,,,,,,,,,,,,
481,481,2701,3258,3508,3832,SNF Supp.,840,Keeping the classes short and on task really helps our son.,group,community,0.0,,,,,,,,,,,,,,,,,,,,
482,482,2692,3249,3499,3823,SNF Supp.,840,Finding restaurants that are kid friendly.,outing ,community,0.0,,,,,,,,,,,,,,,,,,,,
483,483,2731,3288,3538,3862,SNF Supp.,840,We have not tried any organized sports yet but would like to try in the future.,group,community,4.0,,,,,,,,,,,,,,,,,,,,
484,484,2707,3264,3514,3838,SNF Supp.,840,Playing together as a family.,home,home,0.0,,,,,,,,,,,,,,,,,,,,
485,485,2730,3287,3537,3861,SNF Supp.,840,We have not enrolled our son in any organized groups but perhaps once he starts school he will show some interest.,group,community,4.0,,,,,,,,,,,,,,,,,,,,
486,486,2686,3243,3493,3817,SNF Supp.,840,"As for mealtimes, we have some of his favourites but also we try to put something new on his plate to try.  Sometimes he just kisses or licks the new food item.  Other times we can get him to take a bite of the new food item.  He earns extra electronic time if he tries new foods.",basic care routine,home,1.0,,,,,,,,,,,,,,,,,,,,
487,487,2732,3289,3539,3863,SNF Supp.,840,We have our costumes easily accessible so we can play dress up.,play,home,0.0,,,,,,,,,,,,,,,,,,,,
488,488,2727,3284,3534,3858,SNF Supp.,840,We have a new sand box in our back yard and we take out all our trucks and trains.  He loves to reenact books or movies.,play,home,0.0,,,,,,,,,,,,,,,,,,,,
489,489,2705,3262,3512,3836,SNF Supp.,840,"Our son loves to mix ingredients, so we get out our stool and apron, and he helps to make meals.",chore,home,1.0,,,,,,,,,,,,,,,,,,,,
490,490,2737,3294,3544,3868,SNF Supp.,840,We haven't done too many community events just for the fact its so many people and crowded.  Its just too much stimulation for our son.,community sponsored,community,4.0,,,,,,,,,,,,,,,,,,,,
491,491,2703,3260,3510,3834,SNF Supp.,840,"Our son has his own room with some of his favourite toys, books, etc that he can play with. ",home,home,0.0,,,,,,,,,,,,,,,,,,,,
492,492,2736,3293,3543,3867,SNF Supp.,840,We have story time each nite before bed.  Sometimes we listen to books on tape while the holding the book.,play,home,0.0,,,,,,,,,,,,,,,,,,,,
493,493,2745,3302,3552,3876,SNF Supp.,840,We use an hour glass timer to brush his teeth.  The timer is a 2 minute timer that he can watch the sand go through.,basic care routine,home,0.0,,,,,,,,,,,,,,,,,,,,
494,494,2694,3251,3501,3825,SNF Supp.,840,For community attractions - we like to go earlier in the day when there is less people and therefore less noise and stimulation.,community sponsored,community,0.0,,,,,,,,,,,,,,,,,,,,
495,495,2687,3244,3494,3818,SNF Supp.,840,As for social gatherings we try not to attend too many but a few that we know he would like. Our son has a few good friends that they play really well and so we try to schedule those a few times a week.,community sponsored,community,0.0,,,,,,,,,,,,,,,,,,,,
496,496,2717,3274,3524,3848,SNF Supp.,840,We bought some fun kids soap for the bathroom so he will want his hands more often.,basic care routine,home,0.0,,,,,,,,,,,,,,,,,,,,
497,497,2690,3247,3497,3821,SNF Supp.,840,Controlled environment,community,community,0.0,,,,,,,,,,,,,,,,,,,,
498,498,2709,3266,3516,3840,SNF Supp.,840,Social gatherings - we like to keep it simple and with people our son is familiar with.,community sponsored,community,0.0,,,,,,,,,,,,,,,,,,,,
499,499,2711,3268,3518,3842,SNF Supp.,840,Unloading the groceries we sing songs and he unloads all his favorite foods!,chore,home,0.0,,,,,,,,,,,,,,,,,,,,
500,500,2741,3298,3548,3872,SNF Supp.,840,"We try to keep kid friendly doctors, dentists etc.  ",outing ,community,0.0,,,,,,,,,,,,,,,,,,,,
501,501,1949,2506,2506,2830,SNF Supp.,537,Taking adequate time to make sure he can interact/engage (i.e. do not rush this but take 3x the amount of time than is needed for neurotypical child),basic care routine,home,0.0,,,,,,,,,,,,,,,,,,,,
502,502,1927,2484,2484,2808,SNF Supp.,537,Control the amount of TV or tablet time to make time for these other activities.,play,home,0.0,,,,,,,,,,,,,,,,,,,,
503,503,1932,2489,2489,2813,SNF Supp.,537,"He has too many therapy sessions now (speech, occupational therapy) to fit in lessons as well, though we did try swimming lessons.  He needs more communicative skills first, or specialized (autism-specific) lessons/sessions.",group,community,4.0,,,,,,,,,,,,,,,,,,,,
504,504,1947,2504,2504,2828,SNF Supp.,537,"Seperate him from the others of the family, so he has one parent for focus",home,home,0.0,,,,,,,,,,,,,,,,,,,,
505,505,1933,2490,2490,2814,SNF Supp.,537,"He needs more adult help to learn how to socialize with other kids.  The desire is there, but the communication skills are not.",educational,daycare/preschool,4.0,,,,,,,,,,,,,,,,,,,,
506,506,1930,2487,2487,2811,SNF Supp.,537,Having a parent's undivided attention (i.e. one parent is not struggling to get the attention of two boys). ,basic care routine,home,0.0,,,,,,,,,,,,,,,,,,,,
507,507,1942,2499,2499,2823,SNF Supp.,537,"Making sure he has enough alone time/quiet time when we do have guests over, so he is not overstimulated.",social ,home,0.0,,,,,,,,,,,,,,,,,,,,
508,508,1934,2491,2491,2815,SNF Supp.,537,"If we had more family or outside help, we'd likely have him in one lesson/activity a week but we can't afford the time now with all of his therapy and his brothers' activities as well",group,community,4.0,,,,,,,,,,,,,,,,,,,,
509,509,1923,2480,2480,2804,SNF Supp.,537,"An educative assistant makes all the difference.  We have to pay out of pocket for this at private kindergarten in the mornings, the public system SOMETIMES provides one in the afternoons at his public kindergarten class.",daycare/preschool,daycare/preschool,0.0,,,,,,,,,,,,,,,,,,,,
510,510,1928,2485,2485,2809,SNF Supp.,537,Do it as a family,community,community,0.0,,,,,,,,,,,,,,,,,,,,
511,511,1931,2488,2488,2812,SNF Supp.,537,having the opportunity for many body breaks during the event.,community sponsored,community,0.0,,,,,,,,,,,,,,,,,,,,
512,512,1948,2505,2505,2829,SNF Supp.,537,Spend time with him.,home,home,0.0,,,,,,,,,,,,,,,,,,,,
513,513,1946,2503,2503,2827,SNF Supp.,537,Rewards for completed task,chore,home,2.0,,,,,,,,,,,,,,,,,,,,
514,514,1924,2481,2481,2805,SNF Supp.,537,Being well rested ahead of time (not too many distractions/stimulus),recreational,community,0.0,,,,,,,,,,,,,,,,,,,,
515,515,1939,2496,2496,2820,SNF Supp.,537,"Let him have enough quiet/free time to centre himself, before requesting his participation in group/family activities",home,home,0.0,,,,,,,,,,,,,,,,,,,,
516,516,1940,2497,2497,2821,SNF Supp.,537,"letting him know well in advance what to expect of the outing, in clear, simple language ('social story')",neighborhood outings,community,0.0,,,,,,,,,,,,,,,,,,,,
517,517,1941,2498,2498,2822,SNF Supp.,537,Making sure he can 'practice' his social skills by joining groups/other kids every day,educational activity,daycare/preschool,3.0,,,,,,,,,,,,,,,,,,,,
518,518,1935,2492,2492,2816,SNF Supp.,537,Invite more kids with similar developmental disorder (autism) for play dates,social ,home,0.0,,,,,,,,,,,,,,,,,,,,
519,519,1944,2501,2501,2825,SNF Supp.,537,More adult participation (he needs 1 on 1 supervision to help him stay within the 'rules' of a game),play,home,0.0,,,,,,,,,,,,,,,,,,,,
520,520,1926,2483,2483,2807,SNF Supp.,537,Bringing smart phone/tablet in case he gets fussy,neighborhood outings,community,0.0,,,,,,,,,,,,,,,,,,,,
521,521,1929,2486,2486,2810,SNF Supp.,537,Do them outside is the best strategy (away from other distractions),play,home,0.0,,,,,,,,,,,,,,,,,,,,
522,522,1938,2495,2495,2819,SNF Supp.,537,Knowing well in advance what to expect from the event.,community sponsored,community,0.0,,,,,,,,,,,,,,,,,,,,
523,523,1945,2502,2502,2826,SNF Supp.,537,Prepare him in advance for what to expect.,recreational,community,0.0,,,,,,,,,,,,,,,,,,,,
524,524,1937,2494,2494,2818,SNF Supp.,537,"Keep him focussed/on-task, and provide incentives, such as high fives and bedtime snack (fruit) or read his favourite book when done.",basic care routine,home,2.0,,,,,,,,,,,,,,,,,,,,
525,525,1943,2500,2500,2824,SNF Supp.,537,Making sure he's well fed and gone to the bathroom before we go.,neighborhood outings,community,0.0,,,,,,,,,,,,,,,,,,,,
526,526,1925,2482,2482,2806,SNF Supp.,537,"Being well rested, fed and toileted before the event.",community sponsored,community,0.0,,,,,,,,,,,,,,,,,,,,
527,527,1936,2493,2493,2817,SNF Supp.,537,Invite more sympathetic families/friends over who will engage with my son with autism,social ,home,0.0,,,,,,,,,,,,,,,,,,,,
528,528,1247,1804,1804,2128,SNF Supp.,172,Include [name] in daily routines in the home environment,home,home,1.0,,,,,,,,,,,,,,,,,,,,
529,529,1250,1807,1807,2131,SNF Supp.,172,"Use of local trails  and bike paths to access parks, library etc.",community,community,0.0,,,,,,,,,,,,,,,,,,,,
530,530,1249,1806,1806,2130,SNF Supp.,172,use a baby sling to allow [name] to see what is going on and interact with the family during activities she is too young to participate in.,home,home,0.0,,,,,,,,,,,,,,,,,,,,
531,531,1244,1801,1801,2125,SNF Supp.,172,"Child friendly community- lots of parks, moms groups, play groups and library programs",community,community,0.0,,,,,,,,,,,,,,,,,,,,
532,532,1251,1808,1808,2132,SNF Supp.,172,We use a bike trailer to ride to local parks as a family. The trailer makes it easy for [name] to join us on our outings.,community,community,0.0,,,,,,,,,,,,,,,,,,,,
533,533,1246,1803,1803,2127,SNF Supp.,172,include [name] in daily activities by talking and interacting with her.,home,home,1.0,,,,,,,,,,,,,,,,,,,,
534,534,1245,1802,1802,2126,SNF Supp.,172,"[name] is included in her siblings activities ( Boy Scouts, dance, playdates, playing at the park)",community,community,0.0,,,,,,,,,,,,,,,,,,,,
535,535,1248,1805,1805,2129,SNF Supp.,172,"Teach older siblings how to play with, care for and attend to [name's] needs",home,home,0.0,,,,,,,,,,,,,,,,,,,,
536,536,722,1279,1279,1603,WC 6m,02-001,Invitings friends over to give more opportunities,educational activity,daycare/preschool,0.0,,,,,,,,,,,,,,,,,,,,
537,537,212,433,433,663,WC Baseline ,02-001,DSW and support workers,daycare/preschool,daycare/preschool,0.0,,,,,,,,,,,,,,,,,,,,
538,538,211,432,432,662,WC Baseline ,02-001,Demonstrating and allowing her to try it herself before stepping in,home,home,0.0,,,,,,,,,,,,,,,,,,,,
539,539,420,641,641,871,WC 3m,02-001,Demonstrating activity a few times to try to teach her how to do it,home,home,0.0,,,,,,,,,,,,,,,,,,,,
540,540,728,1285,1285,1609,WC 6m,02-001,"Singing, being silly or making a game of it",basic care routine,home,2.0,,,,,,,,,,,,,,,,,,,,
541,541,715,1272,1272,1596,WC 6m,02-001,Hand over hand,chore,home,3.0,,,,,,,,,,,,,,,,,,,,
542,542,717,1274,1274,1598,WC 6m,02-001,Helping her move her arms to join in activities at circle,educational activity,daycare/preschool,3.0,,,,,,,,,,,,,,,,,,,,
543,543,572,936,936,1257,WC 3m,02-001,Singing the clean up song and showing her how to do it,chore,home,0.0,,,,,,,,,,,,,,,,,,,,
544,544,729,1286,1286,1610,WC 6m,02-001,Working on better hand co-ordination,play,home,3.0,,,,,,,,,,,,,,,,,,,,
545,545,226,447,447,677,WC Baseline ,02-001,The space for her walker and equipment,daycare/preschool,daycare/preschool,0.0,,,,,,,,,,,,,,,,,,,,
546,546,477,698,698,928,WC 3m,02-001,Including activities easy for her to do so she wants to participate more,social,home,0.0,,,,,,,,,,,,,,,,,,,,
