,Unnamed: 0,ID,Entries,Forum,Forum size (# of posts),Age of Child,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,label,strategy
442,442,3075,"neither does ibuprofen gel, deep heat, radian b cream or hot and cold ice packs.",,,11,,,,,,,,,,,,,,,,,,,,,,,4,"neither does ibuprofen gel, deep heat, radian b cream or hot and cold ice packs."
443,443,3075,The pain is now so severe that it wakes him up at night and it is there constantly.,,,11,,,,,,,,,,,,,,,,,,,,,,,4,The pain is now so severe that it wakes him up at night and it is there constantly.
444,444,3075,is on the waiting list for physiotherapy.,,,11,,,,,,,,,,,,,,,,,,,,,,,4,is on the waiting list for physiotherapy.
445,445,3075, I am getting quite concerned as he is now having severe headaches and nose bleeds,,,11,,,,,,,,,,,,,,,,,,,,,,,4, I am getting quite concerned as he is now having severe headaches and nose bleeds
446,446,3075,I dont know what else i can do to help him.,,,11,,,,,,,,,,,,,,,,,,,,,,,4,I dont know what else i can do to help him.
447,447,3075,He also has a multicystic kidney on the left side and he has mild asthma.,,,11,,,,,,,,,,,,,,,,,,,,,,,4,He also has a multicystic kidney on the left side and he has mild asthma.
448,448,3076,My husband and I got custody pf our 4 year old grandson a year ago,,,4,,,,,,,,,,,,,,,,,,,,,,,4,My husband and I got custody pf our 4 year old grandson a year ago
449,449,3076,our daughter and the babys father being neglugent and on drugs,,,4,,,,,,,,,,,,,,,,,,,,,,,4,our daughter and the babys father being neglugent and on drugs
450,450,3076,has been clean for 8 months now,,,4,,,,,,,,,,,,,,,,,,,,,,,4,has been clean for 8 months now
451,451,3076, My grandson is totally out of control and nothing seems to work.,,,4,,,,,,,,,,,,,,,,,,,,,,,4, My grandson is totally out of control and nothing seems to work.
452,452,3076,We are all mentally exhausted and stressed,,,4,,,,,,,,,,,,,,,,,,,,,,,4,We are all mentally exhausted and stressed
453,453,3076,at our wts end not knowing what to do. ,,,4,,,,,,,,,,,,,,,,,,,,,,,4,at our wts end not knowing what to do. 
454,454,3076, He consumes every bit of energy and time.,,,4,,,,,,,,,,,,,,,,,,,,,,,4, He consumes every bit of energy and time.
455,455,3076,I love him so dearly and want whats best for him. ,,,4,,,,,,,,,,,,,,,,,,,,,,,4,I love him so dearly and want whats best for him. 
456,456,3076, I am beginning to think he needs to see a specialist,,,4,,,,,,,,,,,,,,,,,,,,,,,4, I am beginning to think he needs to see a specialist
457,457,3076, really dont know where to begin.,,,4,,,,,,,,,,,,,,,,,,,,,,,4, really dont know where to begin.
458,458,3077,given supplements the right way to both my boys aged 4 & 8,,,4,,,,,,,,,,,,,,,,,,,,,,,4,given supplements the right way to both my boys aged 4 & 8
459,459,3077,Early morning time ( after milk or meal ) ,,,4,,,,,,,,,,,,,,,,,,,,,,,4,Early morning time ( after milk or meal ) 
460,460,3077,1 or 2 pcs Vitamin C chewable and 1 pc spirulina,,,4,,,,,,,,,,,,,,,,,,,,,,,4,1 or 2 pcs Vitamin C chewable and 1 pc spirulina
461,461,3077,Evening time ( after dinner ),,,4,,,,,,,,,,,,,,,,,,,,,,,4,Evening time ( after dinner )
462,462,3077,"2pcs mini capsule of fish oil
",,,4,,,,,,,,,,,,,,,,,,,,,,,4,"2pcs mini capsule of fish oil
"
463,463,3077,I just hope to boost up their immune system & maintain healthy body.,,,4,,,,,,,,,,,,,,,,,,,,,,,4,I just hope to boost up their immune system & maintain healthy body.
464,464,3078,On the 1st of July my 2 year old started being sick and have diarrhea.,,,2,,,,,,,,,,,,,,,,,,,,,,,4,On the 1st of July my 2 year old started being sick and have diarrhea.
465,465,3078,The hospital diagnosed viral gastroenteritis.  ,,,2,,,,,,,,,,,,,,,,,,,,,,,4,The hospital diagnosed viral gastroenteritis.  
466,466,3078,Now she is only being sick in the middle of the night and is fine all day ling,,,2,,,,,,,,,,,,,,,,,,,,,,,4,Now she is only being sick in the middle of the night and is fine all day ling
467,467,3078,She still has foul smelling diarrhea ,,,2,,,,,,,,,,,,,,,,,,,,,,,4,She still has foul smelling diarrhea 
468,468,3078,this is several times a day. ,,,2,,,,,,,,,,,,,,,,,,,,,,,4,this is several times a day. 
469,469,3078, they took a stool sample then but it came back negative.,,,2,,,,,,,,,,,,,,,,,,,,,,,4, they took a stool sample then but it came back negative.
470,470,3078,they said nothing is clinically wrong with her.,,,2,,,,,,,,,,,,,,,,,,,,,,,4,they said nothing is clinically wrong with her.
471,471,3078,She has lost so much weigt ,,,2,,,,,,,,,,,,,,,,,,,,,,,4,She has lost so much weigt 
472,472,3078,has gone from above the 50th centile to just under the 25th centile in this time. ,,,2,,,,,,,,,,,,,,,,,,,,,,,4,has gone from above the 50th centile to just under the 25th centile in this time. 
473,473,3078,She is a fussy eater but is still eating certain things at times,,,2,,,,,,,,,,,,,,,,,,,,,,,4,She is a fussy eater but is still eating certain things at times
474,474,3078,Its really getting us down,,,2,,,,,,,,,,,,,,,,,,,,,,,4,Its really getting us down
475,475,3078,both hospital and doctors have said they cant find anything wrong,,,2,,,,,,,,,,,,,,,,,,,,,,,4,both hospital and doctors have said they cant find anything wrong
476,476,3078, her sick is quite watery and a browny green colour and her diarrhea is the same. ,,,2,,,,,,,,,,,,,,,,,,,,,,,4, her sick is quite watery and a browny green colour and her diarrhea is the same. 
477,477,3078, She also complains of tummy pains and her throat hurting.,,,2,,,,,,,,,,,,,,,,,,,,,,,4, She also complains of tummy pains and her throat hurting.
478,478,3078,we are just so scared at the amount of weight she has lost,,,2,,,,,,,,,,,,,,,,,,,,,,,4,we are just so scared at the amount of weight she has lost
479,479,3078,there has been no sickness and her poop is starting to get harder and browner lol,,,2,,,,,,,,,,,,,,,,,,,,,,,4,there has been no sickness and her poop is starting to get harder and browner lol
480,480,3078,She does have a normal breakfast but is reluctant to eat,,,2,,,,,,,,,,,,,,,,,,,,,,,4,She does have a normal breakfast but is reluctant to eat
481,481,3078,Keeping my fingers crossed that it carries on like this now,,,2,,,,,,,,,,,,,,,,,,,,,,,4,Keeping my fingers crossed that it carries on like this now
482,482,3078,hopefully we have solved the problem ,,,2,,,,,,,,,,,,,,,,,,,,,,,4,hopefully we have solved the problem 
483,483,3079,Happy to hear that she is on the mend,,,2,,,,,,,,,,,,,,,,,,,,,,,4,Happy to hear that she is on the mend
484,484,3079,It must be a relief for you.,,,2,,,,,,,,,,,,,,,,,,,,,,,4,It must be a relief for you.
485,485,3079,I get so stressed and anxious when my LO is sick.,,,2,,,,,,,,,,,,,,,,,,,,,,,4,I get so stressed and anxious when my LO is sick.
486,486,3079,Hopefully her tummy bug has passed for good,,,2,,,,,,,,,,,,,,,,,,,,,,,4,Hopefully her tummy bug has passed for good
487,487,3079,Glad to see her appetite is back,,,2,,,,,,,,,,,,,,,,,,,,,,,4,Glad to see her appetite is back
488,488,3080,My four year old daughter has always been petite.,,,4,,,,,,,,,,,,,,,,,,,,,,,4,My four year old daughter has always been petite.
489,489,3080,She seems 'young for her age' too.,,,4,,,,,,,,,,,,,,,,,,,,,,,4,She seems 'young for her age' too.
490,490,3080,"She has, for the last year or so, complained about having a sore tummy. ",,,4,,,,,,,,,,,,,,,,,,,,,,,4,"She has, for the last year or so, complained about having a sore tummy. "
491,491,3080,"She does not eat a lot, picks at her food.",,,4,,,,,,,,,,,,,,,,,,,,,,,4,"She does not eat a lot, picks at her food."
492,492,3080,"She is incredibly fussy about what she wants,",,,4,,,,,,,,,,,,,,,,,,,,,,,4,"She is incredibly fussy about what she wants,"
493,493,3080," when she does eat, she then complains about her tummy being sore",,,4,,,,,,,,,,,,,,,,,,,,,,,4," when she does eat, she then complains about her tummy being sore"
494,494,3080,often holding it and squirming around.,,,4,,,,,,,,,,,,,,,,,,,,,,,4,often holding it and squirming around.
495,495,3080,"But she is just so very thin, and is eating less and less",,,4,,,,,,,,,,,,,,,,,,,,,,,4,"But she is just so very thin, and is eating less and less"
496,496,3080," Every so often, she will eat a lot and be fine. ",,,4,,,,,,,,,,,,,,,,,,,,,,,4," Every so often, she will eat a lot and be fine. "
497,497,3080,this is a rare thing.,,,4,,,,,,,,,,,,,,,,,,,,,,,4,this is a rare thing.
498,498,3080,"We are very worried about her,",,,4,,,,,,,,,,,,,,,,,,,,,,,4,"We are very worried about her,"
499,499,3080,"she is so small for her age, and so light",,,4,,,,,,,,,,,,,,,,,,,,,,,4,"she is so small for her age, and so light"
500,500,3080, she doesnt eat egg yolf though,,,4,,,,,,,,,,,,,,,,,,,,,,,4, she doesnt eat egg yolf though
501,501,3080,She is weirdly picky,,,4,,,,,,,,,,,,,,,,,,,,,,,4,She is weirdly picky
502,502,3080,her pickiness does not have any consistency.,,,4,,,,,,,,,,,,,,,,,,,,,,,4,her pickiness does not have any consistency.
503,503,3080,"one day she hates something, the next she loves it",,,4,,,,,,,,,,,,,,,,,,,,,,,4,"one day she hates something, the next she loves it"
504,504,3080,she only really wants to eat gherkins!,,,4,,,,,,,,,,,,,,,,,,,,,,,4,she only really wants to eat gherkins!
505,505,3080,her behaviour doesnt seem to change - the pattern is,,,4,,,,,,,,,,,,,,,,,,,,,,,4,her behaviour doesnt seem to change - the pattern is
506,506,3080,"she is fine, sits down to eat, barely touches it",,,4,,,,,,,,,,,,,,,,,,,,,,,4,"she is fine, sits down to eat, barely touches it"
507,507,3080,says 'i have a sore tummy',,,4,,,,,,,,,,,,,,,,,,,,,,,4,says 'i have a sore tummy'
508,508,3080,she starts holding her tummy and moaning.,,,4,,,,,,,,,,,,,,,,,,,,,,,4,she starts holding her tummy and moaning.
509,509,3080," this goes on for a long while after eating, depending on ow much she has had",,,4,,,,,,,,,,,,,,,,,,,,,,,4," this goes on for a long while after eating, depending on ow much she has had"
510,510,3080,"sometimes she is happy to eat, munches away",,,4,,,,,,,,,,,,,,,,,,,,,,,4,"sometimes she is happy to eat, munches away"
511,511,3080,"sure enough, after a while, she gets in pain, think the pain is just a normal tummy ache.",,,4,,,,,,,,,,,,,,,,,,,,,,,4,"sure enough, after a while, she gets in pain, think the pain is just a normal tummy ache."
512,512,3080,"She likes food one day, then hates it another. ",,,4,,,,,,,,,,,,,,,,,,,,,,,4,"She likes food one day, then hates it another. "
513,513,3080,"She ate last night, she did moan about her tummy",,,4,,,,,,,,,,,,,,,,,,,,,,,4,"She ate last night, she did moan about her tummy"
514,514,3080,I also wonder whether this is for attention too. ,,,4,,,,,,,,,,,,,,,,,,,,,,,4,I also wonder whether this is for attention too. 
515,515,3081,We had the same problem with our youngest Emily.,,,,,,,,,,,,,,,,,,,,,,,,,,4,We had the same problem with our youngest Emily.
516,516,3081,we were told that she was a bad eater!,,,,,,,,,,,,,,,,,,,,,,,,,,4,we were told that she was a bad eater!
517,517,3081,I’m sure there are nutritional differences between juices coming out of a masticating juicer or a centrifugal one,,,,,,,,,,,,,,,,,,,,,,,,,,4,Im sure there are nutritional differences between juices coming out of a masticating juicer or a centrifugal one
518,518,3081,whatever juice you produce will be far superior to any of those dead juices you’ll buy,,,,,,,,,,,,,,,,,,,,,,,,,,4,whatever juice you produce will be far superior to any of those dead juices youll buy
519,519,3081,Emily flourished on these juices,,,,,,,,,,,,,,,,,,,,,,,,,,4,Emily flourished on these juices
520,520,3081,is now thankfully eating at as level we'd consider normal.,,,,,,,,,,,,,,,,,,,,,,,,,,4,is now thankfully eating at as level we'd consider normal.
521,521,3081, just because you've eaten doesn't mean you've fed yourself,,,,,,,,,,,,,,,,,,,,,,,,,,4, just because you've eaten doesn't mean you've fed yourself
522,522,3082,she might be bored with her food,,,4,,,,,,,,,,,,,,,,,,,,,,,4,she might be bored with her food
523,523,3082,what she is eating isn't from the right food groups.,,,4,,,,,,,,,,,,,,,,,,,,,,,4,what she is eating isn't from the right food groups.
524,524,3082,she still is complaining of a tummy ache ,,,4,,,,,,,,,,,,,,,,,,,,,,,4,she still is complaining of a tummy ache 
525,525,3082, she really needs to be assesed to rule out any possible issues. ,,,4,,,,,,,,,,,,,,,,,,,,,,,4, she really needs to be assesed to rule out any possible issues. 
526,526,3082,Sometimes younger children loose their appetite,,,4,,,,,,,,,,,,,,,,,,,,,,,4,Sometimes younger children loose their appetite
527,527,3082,"an underlying casue not related to their digestive system, ex:toncils, ears etc.",,,4,,,,,,,,,,,,,,,,,,,,,,,4,"an underlying casue not related to their digestive system, ex:toncils, ears etc."
528,528,3083,which is the best age to take your child to the doctors,,,3,,,,,,,,,,,,,,,,,,,,,,,4,which is the best age to take your child to the doctors
529,529,3083,I think my daughter may have ADHD,,,3,,,,,,,,,,,,,,,,,,,,,,,4,I think my daughter may have ADHD
530,530,3083,her behaviour is so much different from the other four daughters,,,3,,,,,,,,,,,,,,,,,,,,,,,4,her behaviour is so much different from the other four daughters
531,531,3083,it's actually getting worse,,,3,,,,,,,,,,,,,,,,,,,,,,,4,it's actually getting worse
532,532,3083,I think she can be a danger to her self sometimes,,,3,,,,,,,,,,,,,,,,,,,,,,,4,I think she can be a danger to her self sometimes
533,533,3083,at nursery always fighting where she nearly had a boys eye out,,,3,,,,,,,,,,,,,,,,,,,,,,,4,at nursery always fighting where she nearly had a boys eye out
534,534,3083,medication is the very last thing I want for her,,,3,,,,,,,,,,,,,,,,,,,,,,,4,medication is the very last thing I want for her
535,535,3083,3 years on and still waking up in the night to attack me,,,3,,,,,,,,,,,,,,,,,,,,,,,4,3 years on and still waking up in the night to attack me
536,536,3084,usually wait until after 5 to diagnose ADHD,,,,,,,,,,,,,,,,,,,,,,,,,,4,usually wait until after 5 to diagnose ADHD
537,537,3084,"usually uncommon in girls, but can happen",,,,,,,,,,,,,,,,,,,,,,,,,,4,"usually uncommon in girls, but can happen"
538,538,3084,"I have two boys medicated,",,,,,,,,,,,,,,,,,,,,,,,,,,4,"I have two boys medicated,"
539,539,3084,they are on dexamphetamine and risperidone,,,,,,,,,,,,,,,,,,,,,,,,,,4,they are on dexamphetamine and risperidone
540,540,3084,"I hate medicating them but they do need it,",,,,,,,,,,,,,,,,,,,,,,,,,,4,"I hate medicating them but they do need it,"
541,541,3085,"I'm desperate at this point,",,,6,,,,,,,,,,,,,,,,,,,,,,,4,"I'm desperate at this point,"
542,542,3085,need any advice I can get,,,6,,,,,,,,,,,,,,,,,,,,,,,4,need any advice I can get
543,543,3085,Alittle background first--he's the oldest of 3 kids,,,6,,,,,,,,,,,,,,,,,,,,,,,4,Alittle background first--he's the oldest of 3 kids
544,544,3085,I have a 2.5 year old with Down syndrome,,,6,,,,,,,,,,,,,,,,,,,,,,,4,I have a 2.5 year old with Down syndrome
545,545,3085,an almost 4 year old on the autism spectrum.,,,6,,,,,,,,,,,,,,,,,,,,,,,4,an almost 4 year old on the autism spectrum.
546,546,3085,"He is a ""typical"" child development wise,",,,6,,,,,,,,,,,,,,,,,,,,,,,4,"He is a ""typical"" child development wise,"
547,547,3085,is great in school and making friends and all that.,,,6,,,,,,,,,,,,,,,,,,,,,,,4,is great in school and making friends and all that.
548,548,3085,"lately he has become extremely hateful, aggressive and angry",,,6,,,,,,,,,,,,,,,,,,,,,,,4,"lately he has become extremely hateful, aggressive and angry"
549,549,3085,Emotions seem to just consume him every minute of the day now. ,,,6,,,,,,,,,,,,,,,,,,,,,,,4,Emotions seem to just consume him every minute of the day now. 
550,550,3085,He could be acting completely fine and then he will do something that needs some correction,,,6,,,,,,,,,,,,,,,,,,,,,,,4,He could be acting completely fine and then he will do something that needs some correction
551,551,3085,he will suddenly either burst in to tears and run away,,,6,,,,,,,,,,,,,,,,,,,,,,,4,he will suddenly either burst in to tears and run away
552,552,3085,he will get really angry and scream at me and try to fight with me or whine and argue,,,6,,,,,,,,,,,,,,,,,,,,,,,4,he will get really angry and scream at me and try to fight with me or whine and argue
553,553,3085,There is no in between.,,,6,,,,,,,,,,,,,,,,,,,,,,,4,There is no in between.
554,554,3085,He's usually either bouncing off the walls with energy,,,6,,,,,,,,,,,,,,,,,,,,,,,4,He's usually either bouncing off the walls with energy
555,555,3085,"really sad and crying, or angry and extremely aversive and yelling.",,,6,,,,,,,,,,,,,,,,,,,,,,,4,"really sad and crying, or angry and extremely aversive and yelling."
556,556,3085,It breaks my heart and makes me so frustrated inside,,,6,,,,,,,,,,,,,,,,,,,,,,,4,It breaks my heart and makes me so frustrated inside
557,557,3085, I don't know how to handle this or fix it.,,,6,,,,,,,,,,,,,,,,,,,,,,,4, I don't know how to handle this or fix it.
558,558,3085,Me and my ex husband separated over a year ago,,,6,,,,,,,,,,,,,,,,,,,,,,,4,Me and my ex husband separated over a year ago
559,559,3085,I know is a devastating change from seeing him every single day,,,6,,,,,,,,,,,,,,,,,,,,,,,4,I know is a devastating change from seeing him every single day
560,560,3085,I know the divorce has played a roll in his problems.,,,6,,,,,,,,,,,,,,,,,,,,,,,4,I know the divorce has played a roll in his problems.
561,561,3085,My parents divorced when I was his age as well,,,6,,,,,,,,,,,,,,,,,,,,,,,4,My parents divorced when I was his age as well
562,562,3085, But I also don't recal lashing out the way he does.,,,6,,,,,,,,,,,,,,,,,,,,,,,4, But I also don't recal lashing out the way he does.
563,563,3085,"He doesn't respect me, doesn't listen, doesn't care.",,,6,,,,,,,,,,,,,,,,,,,,,,,4,"He doesn't respect me, doesn't listen, doesn't care."
564,564,3085,He has started saying bad words,,,6,,,,,,,,,,,,,,,,,,,,,,,4,He has started saying bad words
565,565,3085,"will try to say the ""F"" word almost everyday.",,,6,,,,,,,,,,,,,,,,,,,,,,,4,"will try to say the ""F"" word almost everyday."
566,566,3085,esterday he was mad at me and told me that his life would be so much easier if I was gone,,,6,,,,,,,,,,,,,,,,,,,,,,,4,esterday he was mad at me and told me that his life would be so much easier if I was gone
567,567,3085,it sometimes works for a bit but then he just says he doesn't care,,,6,,,,,,,,,,,,,,,,,,,,,,,4,it sometimes works for a bit but then he just says he doesn't care
568,568,3085,"I feel so lost, so unorganized, and so hurt and confused",,,6,,,,,,,,,,,,,,,,,,,,,,,4,"I feel so lost, so unorganized, and so hurt and confused"
569,569,3085,I don't know how to handle it.,,,6,,,,,,,,,,,,,,,,,,,,,,,4,I don't know how to handle it.
570,570,3085,"If I let him, he will argue back and forth with me for hours",,,6,,,,,,,,,,,,,,,,,,,,,,,4,"If I let him, he will argue back and forth with me for hours"
571,571,3085,It's draining. I know it drains him too.,,,6,,,,,,,,,,,,,,,,,,,,,,,4,It's draining. I know it drains him too.
572,572,3085,His behavior on top of already having two other kids with special needs ,,,6,,,,,,,,,,,,,,,,,,,,,,,4,His behavior on top of already having two other kids with special needs 
573,573,3085,really takes a toll on me sometimes,,,6,,,,,,,,,,,,,,,,,,,,,,,4,really takes a toll on me sometimes
574,574,3086,So sorry you have your plate so full.,,,8,,,,,,,,,,,,,,,,,,,,,,,4,So sorry you have your plate so full.
575,575,3086,Our 8 yo great-grandson has anger problems,,,8,,,,,,,,,,,,,,,,,,,,,,,4,Our 8 yo great-grandson has anger problems
576,576,3086,"He was recently diagnosed with ""impulse control disorder"".",,,8,,,,,,,,,,,,,,,,,,,,,,,4,"He was recently diagnosed with ""impulse control disorder""."
577,577,3086,So far his meds have not helped,,,8,,,,,,,,,,,,,,,,,,,,,,,4,So far his meds have not helped
578,578,3087,I am also sorry to hear about this.,,,10,,,,,,,,,,,,,,,,,,,,,,,4,I am also sorry to hear about this.
579,579,3087,Even my nephew have anger.  ,,,10,,,,,,,,,,,,,,,,,,,,,,,4,Even my nephew have anger.  
580,580,3087,He is only 10 years of old. ,,,10,,,,,,,,,,,,,,,,,,,,,,,4,He is only 10 years of old. 
581,581,3087,Any simple matter he gets angry.,,,10,,,,,,,,,,,,,,,,,,,,,,,4,Any simple matter he gets angry.
582,582,3087,I think he is also suffering this kind of diseases. ,,,10,,,,,,,,,,,,,,,,,,,,,,,4,I think he is also suffering this kind of diseases. 
583,583,3088,"my daughter has this barking cough, mainly at school",,,13,,,,,,,,,,,,,,,,,,,,,,,4,"my daughter has this barking cough, mainly at school"
584,584,3088, She has a good school life,,,13,,,,,,,,,,,,,,,,,,,,,,,4, She has a good school life
585,585,3088,is quite an academic.,,,13,,,,,,,,,,,,,,,,,,,,,,,4,is quite an academic.
586,586,3088, She says she has no worries. ,,,13,,,,,,,,,,,,,,,,,,,,,,,4, She says she has no worries. 
587,587,3088, Something is starting this cough.,,,13,,,,,,,,,,,,,,,,,,,,,,,4, Something is starting this cough.
588,588,3088,She's practically been dismissed from the medical world,,,13,,,,,,,,,,,,,,,,,,,,,,,4,She's practically been dismissed from the medical world
589,589,3088, they have no idea why this is happening.,,,13,,,,,,,,,,,,,,,,,,,,,,,4, they have no idea why this is happening.
590,590,3088, She is missing so many lessons ,,,13,,,,,,,,,,,,,,,,,,,,,,,4, She is missing so many lessons 
591,591,3088, I'm at my wits end.,,,13,,,,,,,,,,,,,,,,,,,,,,,4, I'm at my wits end.
592,592,3088,she's had cameras down her throat,,,13,,,,,,,,,,,,,,,,,,,,,,,4,she's had cameras down her throat
593,593,3088,", speech therapy, ",,,13,,,,,,,,,,,,,,,,,,,,,,,4,", speech therapy, "
594,594,3088,hypnotherapy.,,,13,,,,,,,,,,,,,,,,,,,,,,,4,hypnotherapy.
595,595,3088,I don't know where to turn. ,,,13,,,,,,,,,,,,,,,,,,,,,,,4,I don't know where to turn. 
596,596,3088,she's been medically dismissed.,,,13,,,,,,,,,,,,,,,,,,,,,,,4,she's been medically dismissed.
597,597,3088,"Had all the tests, everything.",,,13,,,,,,,,,,,,,,,,,,,,,,,4,"Had all the tests, everything."
598,598,3088,It is getting less and less ,,,13,,,,,,,,,,,,,,,,,,,,,,,4,It is getting less and less 
599,599,3088,nevertheless it is still there.,,,13,,,,,,,,,,,,,,,,,,,,,,,4,nevertheless it is still there.
600,600,3088,Really hope you are right,,,13,,,,,,,,,,,,,,,,,,,,,,,4,Really hope you are right
601,601,3088,she grows out of it soon.,,,13,,,,,,,,,,,,,,,,,,,,,,,4,she grows out of it soon.
602,602,3088,She had a total panic attack last week,,,13,,,,,,,,,,,,,,,,,,,,,,,4,She had a total panic attack last week
603,603,3088,that was due to the school injections. ,,,13,,,,,,,,,,,,,,,,,,,,,,,4,that was due to the school injections. 
604,604,3088,Everyone gets anxious about injections,,,13,,,,,,,,,,,,,,,,,,,,,,,4,Everyone gets anxious about injections
605,605,3088,it's just that My daughter didn't realise quite how much.,,,13,,,,,,,,,,,,,,,,,,,,,,,4,it's just that My daughter didn't realise quite how much.
606,606,3088,It started with the cough,,,13,,,,,,,,,,,,,,,,,,,,,,,4,It started with the cough
607,607,3088,then she was hyperventilating.,,,13,,,,,,,,,,,,,,,,,,,,,,,4,then she was hyperventilating.
608,608,3088,She's good academically,,,13,,,,,,,,,,,,,,,,,,,,,,,4,She's good academically
609,609,3088,"Just want it to go away, for obvious reasons",,,13,,,,,,,,,,,,,,,,,,,,,,,4,"Just want it to go away, for obvious reasons"
610,610,3088,also exams coming up!,,,13,,,,,,,,,,,,,,,,,,,,,,,4,also exams coming up!
611,611,3089,my daughter use to do this,,,,,,,,,,,,,,,,,,,,,,,,,,4,my daughter use to do this
612,612,3089,She would cough for no reason,,,,,,,,,,,,,,,,,,,,,,,,,,4,She would cough for no reason
613,613,3089, it became a habit.,,,,,,,,,,,,,,,,,,,,,,,,,,4, it became a habit.
614,614,3089, I just left it ,,,,,,,,,,,,,,,,,,,,,,,,,,4, I just left it 
615,615,3089,she grew out of it.,,,,,,,,,,,,,,,,,,,,,,,,,,4,she grew out of it.
616,616,3089,hope that helps x,,,,,,,,,,,,,,,,,,,,,,,,,,4,hope that helps x
617,617,3090,i believe that my daughter who is 9 yrs old has this condition,,,9,,,,,,,,,,,,,,,,,,,,,,,4,i believe that my daughter who is 9 yrs old has this condition
618,618,3090,has been living with it since she was 4 of 5 yrs old.,,,9,,,,,,,,,,,,,,,,,,,,,,,4,has been living with it since she was 4 of 5 yrs old.
619,619,3090,It started with mood swings,,,9,,,,,,,,,,,,,,,,,,,,,,,4,It started with mood swings
620,620,3090, i just put down to a bad temper,,,9,,,,,,,,,,,,,,,,,,,,,,,4, i just put down to a bad temper
621,621,3090,how wrong was i ,,,9,,,,,,,,,,,,,,,,,,,,,,,4,how wrong was i 
622,622,3090,breasts and pubic hair then started to appear,,,9,,,,,,,,,,,,,,,,,,,,,,,4,breasts and pubic hair then started to appear
623,623,3090,Until 12 1 08 i just thought my daughter was one of the unlucky few ,,,9,,,,,,,,,,,,,,,,,,,,,,,4,Until 12 1 08 i just thought my daughter was one of the unlucky few 
624,624,3090,had just started to develop early,,,9,,,,,,,,,,,,,,,,,,,,,,,4,had just started to develop early
625,625,3090,i saw a programme about prococious puberty,,,9,,,,,,,,,,,,,,,,,,,,,,,4,i saw a programme about prococious puberty
626,626,3090,realised that my she has more than likely have this condition,,,9,,,,,,,,,,,,,,,,,,,,,,,4,realised that my she has more than likely have this condition
627,627,3090,Now my worries are for her childhood being no longer as child like,,,9,,,,,,,,,,,,,,,,,,,,,,,4,Now my worries are for her childhood being no longer as child like
628,628,3090,I am also worried it may give children reason to bully her ,,,9,,,,,,,,,,,,,,,,,,,,,,,4,I am also worried it may give children reason to bully her 
629,629,3090,it is so perfectly obvious that she is physically and mentally different to others.,,,9,,,,,,,,,,,,,,,,,,,,,,,4,it is so perfectly obvious that she is physically and mentally different to others.
630,630,3090,Unfortunetly we don't know of any one else with this condition,,,9,,,,,,,,,,,,,,,,,,,,,,,4,Unfortunetly we don't know of any one else with this condition
631,631,3090,"have nobody that understands,",,,9,,,,,,,,,,,,,,,,,,,,,,,4,"have nobody that understands,"
632,632,3090,my daughter doesn't seem concerned about the changes tha are happening to her,,,9,,,,,,,,,,,,,,,,,,,,,,,4,my daughter doesn't seem concerned about the changes tha are happening to her
633,633,3090,She is far to young to be going through this,,,9,,,,,,,,,,,,,,,,,,,,,,,4,She is far to young to be going through this
634,634,3091,i think i know im going thrrough this at the moment,,,6,,,,,,,,,,,,,,,,,,,,,,,4,i think i know im going thrrough this at the moment
635,635,3091,my child is 6  ,,,6,,,,,,,,,,,,,,,,,,,,,,,4,my child is 6  
636,636,3091,"and yet still not diagnoised, ",,,6,,,,,,,,,,,,,,,,,,,,,,,4,"and yet still not diagnoised, "
637,637,3091,"yet the evidence is so bloody clear, ",,,6,,,,,,,,,,,,,,,,,,,,,,,4,"yet the evidence is so bloody clear, "
638,638,3091,i think they should repeat test alot more sooner.,,,6,,,,,,,,,,,,,,,,,,,,,,,4,i think they should repeat test alot more sooner.
639,639,3092, I can relate to this. ,,,9,,,,,,,,,,,,,,,,,,,,,,,4, I can relate to this. 
640,640,3092,My daughter started putting a little weight on at approx 6 yrs old. ,,,9,,,,,,,,,,,,,,,,,,,,,,,4,My daughter started putting a little weight on at approx 6 yrs old. 
641,641,3092,"By this age she had full pubic hair, ",,,9,,,,,,,,,,,,,,,,,,,,,,,4,"By this age she had full pubic hair, "
642,642,3092,by 7 years old she developed under arm hair and odour. ,,,9,,,,,,,,,,,,,,,,,,,,,,,4,by 7 years old she developed under arm hair and odour. 
643,643,3092,it seems so unfair. ,,,9,,,,,,,,,,,,,,,,,,,,,,,4,it seems so unfair. 
644,644,3092,Our daughter is now 9 ,,,9,,,,,,,,,,,,,,,,,,,,,,,4,Our daughter is now 9 
645,645,3092,now has slightly spotty/oily skin ,,,9,,,,,,,,,,,,,,,,,,,,,,,4,now has slightly spotty/oily skin 
646,646,3092,is quite tall and looks older for her age,,,9,,,,,,,,,,,,,,,,,,,,,,,4,is quite tall and looks older for her age
