strategy,Label,trainingset
arrive early to clas to allow her to warm up to the space,0,1
asked her to help put dishes away  especially her dishes that are in a cabinet she can reach,1,1
asked her to set the table,1,1
assist with prepping meals,1,1
create a routine  dad always takes to gymnastics arrives at the same time each week,0,1
food therapy with occupational therapist,4,1
touching smelling more foods for exposure to new things,1,1
positive reinforcement and verbal affirmation  including him on decision making  show him how and ask him to mimic  patience  repetition  use toys and use play to show him how to do it  make it fun,1,1
positive reinforcement and verbal affirmation  including him on decision making  show him how and ask him to mimic  patience  repetition  use toys and use play to show him how to do it  make it fun,1,1
positive reinforcement and verbal affirmation  including him on decision making  show him how and ask him to mimic  patience  repetition  use toys and use play to show him how to do it  make it fun,1,1
role modeling,0,1
scheduling appointments ahead of time or when grandparents can help with them,0,1
see above,4,1
see above,4,1
see above,4,1
see above,4,1
see above,4,1
see above,4,1
asking her to put her hands upput her legs in pants etc  making a game of it encourage her....sing silly words as she is trying,1,1
make a game of it,2,1
allowing my child to be shy and explore in his own time  not pressuring him to got to others in the house,1,2
he enjoys being outdoors in the yards around the neighborhood outing to the park,2,2
he likes new adventures/environments and seems stimulated and interested running errands although not so much the car rides,2,2
i will roll a ball to my child or bounce a ball to him to engaged and ask him to throw or roll it back  he often will engaged if he is interested the generally likes balls and throwing objects,0,2
i will start the play and describe what im doing  i.e. stacking blocks  then to make it interesting i knock them all over with a kaboom and he wants to play,0,2
imitation idea brushing teeth my child will mimic my own teeth brushing motions and brush better than if i leave him to brush,3,2
keep familiar snacks around and his favorite blanket nearby,1,2
keep the outing/activity not too long an event,0,2
keeping a nap and similar bedtime routine,0,2
lots of outdoor activities,0,2
mealtime having him eat with his sister or with the family   sometimes successful in getting him to sit and eat  not everything we dont have that expectation as he is pretty picky,0,2
nodding approval and letting him know im watching when he ventures away from me for dad,1,2
reading books as part of bedtime routine he does not respond very well to counting out [number] books we will read three books  this is our our second books so dimming the lights sets a cue that we are on a,0,2
reducing outside distractions noise the electronics even people to get him to focus better on starting a new activity,0,2
sometimes surreptitiously leaving the room allows his range of focus to broaden and hell explore other people better,0,2
she was on a treatment that compromised her immune system so she could not go out much for a while now we are trying to get her to the park outings and other stuff as much as we can it is a lot of sensory in,0,1
we are constantly engaging her with various toys and books,0,1
we have been working with her on pushing her arms and legs through when we dress her and she likes that,3,1
we practice with a knife and fork whenever we can as far as eating but now on the veto diet she is on there is less opportunity for that,3,1
we taped over some door latches so she can play with the doors which she loves,0,1
he helps get dishes out of the dishwasher and carefully hands them to us to put away he puts laundry in the machine and takes them out of the dryer when clean he really helping us,1,0
he is too young to understand a sleepover with friends but enjoys having friends come over or play outside with neighbor kids,2,0
we show him how to use a fork brush teeth etc and he likes to learn and do it for himself,0,0
we teach him different games and activities he doesnt always want to participate at that moment but we revisit the activity until he wants to learn,3,0
feed the dog [number] scoops of dog food for dinner,1,0
get your own cup and utensil when requesting milk or yogurt,1,0
picture chart with steps for bedtime,0,0
put away plastic tableware in easily accessible cabinet,0,0
ask her to help daddy take care of groceries when we get home,1,1
ask her to help get a toy for her brother to play with,1,1
ask her to point toes while putting on pants,1,1
ask/help her clean up one set of toys before we start playing with a new one,1,1
have her practice certain moves at home during the week so she hears about them,3,1
have her try and brush her own teeth,1,1
involve her in cooking dinner so she wants to sit at the table,1,1
try and talk about upcoming gymnastics and what we can do when there,0,1
again he is only limo so we initiate most of the socialization  i do believe that he could grow in his social abilities,4,1
again this is also hard given our family dynamic and his developmental stage but i would like for him to engage more.  we have tried to follow his lead and make experiences r,1,1
given his allergies eating out is not an option much for us,4,1
he does not like to participate in structured events  we have tried to ease him in by following his lead,1,1
he is only limo so his abilities to help are limited developmentally... we try through  he will help put his dishes away and help give the dog his treat,1,1
his age and developmental stage makes this difficult right now given that he also has an infant brother,4,1
sing songs or count down,0,1
we attempt to engage him as much as we can sing songs follow his lead read books he likes etc,0,1
we try to model the desired behavior but he often is not interested,2,1
we use sign language for thank you hello goodbye and make it a point to show our guests to the door when they leave and greet them when they come,0,1
allow her to self feed giving her food items,1,2
engage in social play we play baby in the mirror when i take her out of her crib we play peek a book we mirror play with sounds voices and movement,0,2
introducing her to day trips,0,2
introducing her to parks and playgrounds and the sensory experience that comes with it,0,2
none i would like to enroll in mommy and me classes to help her learn new skills,4,2
present  toys to her to introduce her to arts music  books,0,2
show her how things work during play and give her the opportunity to mirror the actions,0,2
started to introduce her to social and group settings,0,2
we have a bedtime routine diaper bottle singing/cuddle we engage in every night before being putin crib,0,2
when dressing we count [number] this lets her know something is about to happen arms through slaves pulling shirt over head and she will responded accordingly example lift her arms,0,2
keeping trips short and bribing snacks,0,1
new toys,0,1
playing with cousins,0,1
playing with [name],0,1
positive praise,1,1
snacks,0,1
snacks,0,1
songs,0,1
the ipad,0,1
treats and toys,0,1
watching older siblings,0,1
almost all activities that i do he is allowed to help with and encouraged to help with in one way or another also seeing other brother doing the same tasks helps him to want to do it,1,2
i use the words helping hands as i help him put his plate on the counter when done eating sometime he does this on his own never his cup thought,1,2
just letting him do and see what i am doing i also explain everything as we go along,1,2
just the cost and time off work plus this year we had babies an extra pair of hands would be needed for more hiking activities,4,2
montessori pratice life,4,2
not being afraid to let him try idea chopping potatoes using a hoe,1,2
the same montessori practical life module everything for dishes he can reach to set table we have a small broom and dust pan he likes to vacuum i have a turn then he has a turn,0,2
we havent be able to do these things with having twins who were born early they are now almost [number] months [number] months adjusted the cost of programs and fin,4,2
bringing a small snack and a cup to help keep him occupied and stay sitting down in a shopping cart,0,1
coloring at the table while trying to eat out to keep him sitting down and to be quiet,0,1
giving him a quiet toy,0,1
giving him his own seat at the movie theater,1,1
giving him his own tray of food at the theater,1,1
giving him his toothbrush to brush his own teeth then finishing it up for him,1,1
giving him socks and shoes to try and put on himself then helping him finish,1,1
keeping the shopping cart away from shelves and things in his reach and also giving him things to put in the cart that we do want to get,0,1
not giving him a lot of snacks throughout the day so he will actually eat a sit down meal,2,1
be less scared of new people by totaling with them myself while holding her,0,1
clean up with her,0,1
compliment her sibling for good participation,0,1
making her select from acceptable choices,2,1
not picking her up,2,1
try to make her use her words,2,1
using rewards for good participation,2,1
we try to remove one item from one routine each week,0,1
rewards,2,0
timeout,2,0
timer,0,0
asking for help,1,1
attending with a group for variety,0,1
bringing along favorite toys/stuffed animals,2,1
demonstrating appropriate behavior,2,1
finding locations where he will have safe spaces to explore,0,1
handing things and instructing as to what to do,3,1
new toys,0,1
playing with him,0,1
taking him to events that would be of interest to him,2,1
traveling with friends for variety,0,1
variety of toys,0,1
ask him to put certain laundry items in the appropriate rooms  also when unloading the dishwasher he can put away the dishes he can reach also when i vacuum he takes his pretend vacuum and vacuums after me,1,1
he loves brushing his teeth on his own so i give his access to a toothbrush whenever he wants  when he gets dressed i try and talk him through pulling his legs in and arms in etc... i also go ask him t,0,1
ive tried to encourage help with preparing food and getting out spoons and dishes etc...,1,1
see above,4,1
see above,4,1
see above,4,1
see above,4,1
see above,4,1
see above,4,1
see above,4,1
see above,4,1
see above,4,1
to be honest we usually hang out with our friends in the neighborhood so we dont do a lot of festivals fairs parades ect... when he gets older and can enjoy the events i,4,2
unfortunately he is the youngest so we dont have him in any organized activities he usually goes with the flow of his brother  we do need to get him,4,2
watching him but also letting him explore with other children both older and younger than him and letting him do his own thing  also just giving him a neighborhood that allows for him to run around win wat,1,2
observation,4,1
observation,4,1
observation,4,1
he needs to follow directions from the coach better and stay with his group not running off to a different activity,4,1
i am not worried about chores yet because he is not even [number] years old yet  occasionally he will help put groceries away on a shelf he can reach or put pots or pans away,1,1
some of the extra screen time is a reinforcement for his eating,2,1
there is a dietician that comes to the house once a week to offer ideas and routines my son doesnt like to try new foods and can be stubborn about eating even if it is something he has had before,0,1
being gentle with pet dog,2,2
family members caregivers tend to take her to more places however we have taken her on a road trip to a tennis tournament as well,0,2
hoping to expand to yoga and swimming,4,2
playing with neighborhood children,0,2
sharing with friends  family,2,2
start going back to library classes too,0,2
we currently have a it coming once per week,4,2
would like to camp a bit more  we do have a run,4,2
helping her notice positive effect on others/environment,3,0
making up songs,0,0
offering choices,2,0
praise and positive reinforcement,1,0
predictable routines,0,0
predictable structure,0,0
getting in the bath with his older brother and watching what he does,0,1
he likes to help carries groceries in from the car,2,1
i put him in soccer but he didnt understand or seem interested i will wait until hes older,0,1
i wait until my children are i then they begin sunday school,4,1
set bedtime routine sits in the same place reads a book and drinks milk,0,1
we do [number] minute clean up after dinner several times per week turn the music on and everyone helps,0,1
giving him a wash cloth in the bath to wash his own face,1,1
he  helps clean up with the clean up song,1,1
he loves to play chase duck duck goose,2,1
he loves to play with anything dolls cars legos and trains,2,1
he loves wooden puzzles,2,1
he puts his own clothes in the laundry basket,1,1
he puts his own paper plate in the trash,1,1
naps are interfering with bed time trying to give up naps so he can go to bed a decent hour,0,1
put tooth paste on his toothbrush so he can brush his teeth himself,1,1
making it a countdown game how fast can he pick up toys by the time i count to [number],2,2
make it playful so he engages,2,1
usually take some snacks if we go grocery shopping,0,1
no strategy because of couid most activities are not open,4,1
doesnt participate due to couid concerns,4,1
its nearly impossible to do these things while also protecting [name] from the couid pandemic,4,0
slowing down and repeating the task that he needs to do showing him if he shows hesitation,3,1
brushing teeth together,0,1
talking through all activities getting dressed washing   trying to to describe more of the actions so he learns them,3,1
certain buckets used for certain toys we started with just trying to get him to put the balls in the basket,0,1
he loves to mimic so laundry is something he helps out with i hand him cloths from washer and he put them in the dryer we fold together sort of,1,1
putting activities into buckets/baskets. he chooses a basket and we play with the item,0,1
removed several toys to limit choices helped him learn new activities that he didnt play with before,0,1
we did a virtual music class he was not interested,0,1
no events available . pre couid we went all the time to every event we could,0,1
asking him to help clear and set the table... ,1,1
[name] his brother on walks give him his scooter be patient and allow him to touch flowers sidewalks etc,0,1
demonstrate the activity on a parent andlor stuffed animal first modeling the activity and desired participation,0,1
describe and explain activities in advanced repeating several times before the activity,0,1
rewarding desired participation  first take [number] tastes then you can squeeze more food from the pouch or first say target word then ill blow more bubbles for you,2,1
note child participates in all opportunities we provide which are very limited due to couid and chronic lung disease  strategy honoring boundaries he sets red social interaction  touch asking if he wants hugs/kisses,1,1
explicitly describing desired social behavior which he may not have participated in before  includes explaining when he does something this culture considers rude edge reaching inside someone elses shirt,2,1
incorporate visitors into favored activities i give them the desired toy or tell them the game of the month peekaboo song with hand signs etc,0,1
telling other children who are taking an interest usually staring that theyre invited to ask questions,0,1
social coaching about interactions with peers inperson peer interactions limited to chance encounters in public places and he still interacts as though theyre on zoom,3,1
describing medical apps in advanced practicing specific activities on parents toys and child we made a fake ultrasound probe and practiced with it for a week before an echocardiogram greatly improving compliance with the next procedure after several days he often proudly sticks it on his own chest or gives cut thumps to himself,0,1
maybe once hes walking fully independently,4,1
our [number] year old has only ever spent a night at chco or our home we are terrified to bring all his lifesustaining equipment and supplies to another location fearing wed lack something crucial he also has [number] caregivers who may not all be able to travel with us he has never in his life left the denver metro area and im not sure hes ever set foot anywhere but denver and aurora have driven throught some other local municipalities,4,1
teaching how to open mouth and not to get stress when the spoon is near ,3,1
music ,0,1
singing ,0,1
young ,4,1
young ,4,1
young ,4,1
teaching how to put toys back in bucket ,3,1
how to play correctly with each toy ,3,1
being organized ,0,1
using words to express what they want is just crying and screaming when not receiving what they want ,2,1
pictures of food to identify desires,0,1
sign language,0,1
give her comfort pack to help with stranger danger response ,0,1
we practice doctor visits so she is less afraid ,3,0
giving him a wash cloth when wiping him up after meals,0,1
my hand over his hand to use fork then hell bring fork to mouth,3,1
hand him clean laundry and ask him to put it away,1,1
we utilize offering choices rather than yes/no using positive reinforcement to encourage engaged/helpful behaviors and frequently offer involvements in all activities in the home but tailor that involvement to be age appropriate,1,0
as above we also use songs and play to make daily activities fun,2,2
as above we also also try to model the activities read books about important tasks or anticipated changes to daily routines etc,0,2
we have a kitchen tower to allow him to be near eye level help with age appropriate aspects of meal prep and help rinse dishes in the sink ,0,2
we have used play to encourage you pick up making it a game and a routine prior to moving on to the next activity,2,2
we have included him in activities like vacuuming sweeping and cleaning the floor and allow him to hold items and have his own cleaning tools/cloth then use positive reinforcement when he successfully cleans up a mess or throws an item in the garbage/recycling.,1,2
largely due to couid and high risk family members we have chosen not to participate in inperson classes/groups. we would love to do this but have not felt comfortable with the risk for the past years,4,2
again due to couid we have felt uncomfortable with most events in this category we have done a few outdoor distanced activities but by choice have limited exposure/risk.,0,2
we do a lot of pretending around the house i pretend to eat brush bathe and then let the child try to do it by himself ,0,1
the child likes to do it after watching the adult do it ,3,1
our child is terrified at going to any appointments ,4,1
we are working on potty training right now  our strategy is for him to start telling us when he has to go potty and reward him with treats for using the potty,2,1
he is supposed to wash his hands mostly by himself if i help with the soap  we are trying to make it very routine when and how we wash is the same daily,1,1
he is learning to brush his own teeth  he brushes first and then i finish,1,1
[name] feeds our puppy two scoops of her food  ,1,1
[name] picks up his toys and puts them into bins  ,0,1
he helps bake muffins for breakfast on some mornings when we get up really early,1,1
we have had a series of new babysitters in the home and [name] is in charge of giving them the tour of the home with his older brother,1,1
we started soccer lessons this spring and will start preschool in august,0,1
he visits his grandparents house [number] times per week,0,1
im not sure how to answer this we bring him more places than we used to,0,1
we signed up for preschool if that counts,0,1
we attended weekly soccer and swim lessons,0,1
we went on a family vacation,0,1
we go to the park/playground on most days,0,1
we try not to leave him out on any family fun activities unless it is something past his bedtime,1,1
the pandemic has caused us to stay home so my child doesnt run any errands with me ,4,0
again we really havent participated in many community activities/parties because of the pandemic ,4,0
again the pandemic has caused us to feel more comfortable staying home my husband and i are always working outside the home or taking care of our son so we have no time to travel we have decided not to have daycare/babysitter because of the pandemic ,4,0
letting him choose the book at bedtime ,2,2
having the whole family sit at the table until he is done eating,0,2
putting out fewer toys at a time,0,2
giving him ideas for how to play pretend ,2,2
asking him to say hello or do a fist bump,1,2
letting him hold items in a shopping cart,1,2
talking with him and describing what we will do,0,2
sing with him and start doing something and encourage him to join me,1,2
start getting himself dressed,1,2
show him as muchneeded ,0,2
ill help him ,3,2
try to teach him how followed directions ,3,2
making it fun talking about what a big boy he is and doing big boy things,2,2
